abdominales aβðominales
meristemo meɾistemo
escaladas eskalaðas
polifosfatos polifosfatos
partisano paɾtisano
polifosfato polifosfato
chachas ʧaʧas
ransomware ransomweɾ
bullectomía buʝeɣtomia
deltoide del̪tojðe
presupuestos pɾesupwestos
glena ɡlena
planetoide planetojðe
romboide rombojðe
tabloide taβlojðe
callampa kaʝampa
chacha ʧaʧa
chacha ʧaʧa
chacha ʧaʧa
globalismo ɡloβalizmo
emoticono emotikono
virosis biɾosis
trilogía tɾiloxia
gilda xil̪da
caolín kaolin
fundamentos fundamentos
turquesa tuɾkesa
pelagatos pelaɣatos
juníperos xunipeɾos
neopreno neopɾeno
rubéola ruβeola
carmesí kaɾmesi
exégesis eɣsexesis
tomatera tomateɾa
olor ˌklaβo ðe oloɾ
pollita poʝita
repartidora repaɾtiðoɾa
cartógrafos kaɾtoɣɾafos
traumatología tɾawmatoloxia
cartógrafas kaɾtoɣɾafas
cúrcuma kuɾkuma
idealistas iðealistas
substituto suβstituto
cartógrafo kaɾtoɣɾafo
cartógrafa kaɾtoɣɾafa
alanos alanos
pando pando
guarismo ɡwaɾizmo
solar eˌkliβse solaɾ
flama flama
bosquejo boskexo
sofito sofito
cochón koʧon
lunar eˌkliβse lunaɾ
neuroprotector newɾopɾoteɣtoɾ
pichi piʧi
rituximab rituɣsimaβ
expósito eɣsposito
eucarionte ewkaɾjonte
dorado kaɾˌpin doɾaðo
turón tuɾon
carpín kaɾpin
autorretrato awtoretɾato
clac klak
peinados pejnaðos
saneamiento saneamjento
clostridio klostɾiðjo
séquito sekito
animosidad animosiðað
coclearia kokleaɾja
peñascos peɲaskos
peñasco peɲasko
desperfecto despeɾfeɣto
relojería reloxeɾia
aborígenes aβoɾixenes
chipote ʧipote
fanal fanal
coluro koluɾo
alaraco alaɾako
feminismos feminizmos
humeras umeɾas
alharaca alaɾaka
humera umeɾa
alcorque alkoɾke
almohadilla almoaðiʝa
sustitutos sustitutos
sustitutas sustitutas
sustituta sustituta
apero apeɾo
estilóbato estiloβato
apisonadora apisonaðoɾa
pesebre peseβɾe
loche loʧe
trabajito tɾaβaxito
palito palito
lémur lemuɾ
nueves nweβes
badajo baðaxo
macarrón makaron
macarrón makaron
requinto rekinto
requinto rekinto
kelper kelpeɾ
acromion akɾomjon
obús oβus
asaeteador asaeteaðoɾ
treta tɾeta
mate ˌʝeɾβa mate
borrador boraðoɾ
ratonera ratoneɾa
apaño apaɲo
tubera tuβeɾa
malabarismo malaβaɾizmo
puerca pweɾka
imperativos impeɾatiβos
generalidad xeneɾaliðað
médano meðano
raquera rakeɾa
cabrito kaβɾito
anarquistas anaɾkistas
hipernatremia ipeɾnatɾemja
numerador numeɾaðoɾ
pirinola piɾinola
denominador denominaðoɾ
serrín serin
chicharrón ʧiʧaron
crocodiliforme kɾokoðilifoɾme
ferretería fereteɾia
bricolaje bɾikolaxe
calistenia kalistenja
lamera lameɾa
riflera rifleɾa
comadrona komaðɾona
marañas maɾaɲas
condoro kondoɾo
auges awxes
maraña maɾaɲa
telugu teluɣu
partija paɾtixa
comparatista kompaɾatista
lavadas laβaðas
alardes alaɾðes
combinados kombinaðos
alares alaɾes
atolada atolaða
lavada laβaða
caladas kalaðas
calada kalaða
sangrados saŋɡɾaðos
calados kalaðos
amarrados amaraðos
convidados kombiðaðos
convidadas kombiðaðas
convidada kombiðaða
acoplados akoplaðos
etiquetados etiketaðos
choras ʧoɾas
pesquisas peskisas
chora ʧoɾa
chora ʧoɾa
menstruo menstɾwo
pasividad pasiβiðað
cagadas kaɣaðas
mija mixa
baleada baleaða
bebidos beβiðos
coladas kolaðas
batera bateɾa
colada kolaða
evacuados eβakwaðos
evacuadas eβakwaðas
evacuada eβakwaða
modelados moðelaðos
moravas moɾaβas
morava moɾaβa
pintados pintaðos
morados moɾaðos
samica samika
pintadas pintaðas
írises iɾises
pintada pintaða
sonso sonso
significados siɣnifikaðos
secados sekaðos
frontales ˌloβulos fɾontales
frontal ˌloβulo fɾontal
parietales ˌloβulos paɾjetales
temporales ˌloβulos tempoɾales
parietal ˌloβulo paɾjetal
temporal ˌloβulo tempoɾal
rola rola
astróloga astɾoloɣa
chuño ʧuɲo
verificabilidad beɾifikaβiliðað
salpicón salpikon
sayo saʝo
bombita bombita
sembradura sembɾaðuɾa
contestatario kontestataɾjo
velarte belaɾte
velludo beʝuðo
contestataria kontestataɾja
madrugador maðɾuɣaðoɾ
notarias notaɾjas
notaria notaɾja
madrugadoras maðɾuɣaðoɾas
madrugadores maðɾuɣaðoɾes
madrugadora maðɾuɣaðoɾa
pogromo poɣɾomo
magíster maxisteɾ
abertales aβeɾtales
coreuta koɾewta
chuchada ʧuʧaða
correligionario korelixjonaɾjo
huaso w̝aso
mandril mandɾil
correligionaria korelixjonaɾja
keke keke
coxalgia koɣsalxja
palmito palmito
encaste eŋkaste
lache laʧe
bacalaos bakalaos
deudor dewðoɾ
marraqueta maraketa
espantadas espantaðas
espantada espantaða
adaptabilidad aðaβtaβiliðað
roquera rokeɾa
creolina kɾeolina
cocotes kokotes
cocote kokote
madeja maðexa
giste xiste
cocotas kokotas
plaste plaste
prensa ˌrweða ðe pɾensa
invidente imbiðente
culmo kulmo
acampamento akampamento
cumana kumana
cuscuta kuskuta
snackbar znaɣβaɾ
cumarina kumaɾina
estafadora estafaðoɾa
estafadores estafaðoɾes
rejilla rexiʝa
serafín seɾafin
iatrofobia ʝatɾofoβja
papalote papalote
dandismo dandizmo
acuarela akwaɾela
solar ˌbjento solaɾ
peritos peɾitos
ensima ensima
agilidad axiliðað
latifundio latifundjo
vigilias bixiljas
peliculero pelikuleɾo
podredumbre poðɾeðumbɾe
mansedumbre manseðumbɾe
chacales ʧakales
asterismo asteɾizmo
feministas feministas
roturadora rotuɾaðoɾa
espora espoɾa
feminista feminista
delfinario delfinaɾjo
denario denaɾjo
altímetro al̪timetɾo
extrusión eɣstɾusjon
rodesiano roðesjano
deuteragonista dewteɾaɣonista
espinosos espinosos
espinoso espinoso
remera remeɾa
diarista djaɾista
sindonología sindonoloxia
biotita bjotita
crematorios kɾematoɾjos
sumerio sumeɾjo
sumerio sumeɾjo
arriba ˌkwaɾk ariβa
abajo ˌkwaɾk aβaxo
fondo ˌkwaɾɣ fondo
extraño ˌkwaɾk eɣstɾaɲo
encantado ˌkwaɾk eŋkantaðo
W boˌson ˌuβe ðoβle
gauge boˌson de ɣawxe
Higgs boˌson de xiɣs
chucrut ʧukɾut
largura laɾɣuɾa
mensajeras mensaxeɾas
mensajera mensaxeɾa
monstruosidades monstɾwosiðaðes
astronómica uniˌðað astɾonomika
alegato aleɣato
informativos iɱfoɾmatiβos
ocupante okupante
mandilón mandilon
ratero rateɾo
carterista kaɾteɾista
suajili swaxili
neerlandesas neeɾlandesas
pastelera pasteleɾa
peatón peaton
destructora destɾuɣtoɾa
destructoras destɾuɣtoɾas
exactitud eɣsaɣtituð
dínamo dinamo
sex-appeal ˌseɣs apil
exfoliante eɣsfoljante
enoturismo enotuɾizmo
enolismo enolizmo
enología enoloxia
patineta patineta
genialidad xenjaliðað
sumiller sumiʝeɾ
inmovilidad immoβiliðað
virginiana biɾxinjana
teosofía teosofia
recolector rekoleɣtoɾ
hidalgos iðalɣos
alacridad alakɾiðað
mamarracho mamaraʧo
mamarracho mamaraʧo
piramidal piɾamiðal
encantadoras eŋkantaðoɾas
pretor pɾetoɾ
embrollo embɾoʝo
severidad seβeɾiðað
albor alβoɾ
agravamiento aɣɾaβamjento
alumbramiento alumbɾamjento
acosador akosaðoɾ
alicantino alikantino
óvalos oβalos
óvalo oβalo
cuadriláteros kwaðɾilateɾos
conseller konseʝeɾ
órdago oɾðaɣo
vampiresa bampiɾesa
talibán taliβan
taquillero takiʝeɾo
alargador alaɾɣaðoɾ
vespertino bespeɾtino
alargue alaɾɣe
cuchifrito kuʧifɾito
desembocaduras desembokaðuɾas
patíbulos patiβulos
rémora remoɾa
puntal puntal
pívot piβot
catalanista katalanista
ligre liɣɾe
profesionalidad pɾofesjonaliðað
panucho panuʧo
probadura pɾoβaðuɾa
primogénito pɾimoxenito
confitería koɱfiteɾia
coctelería koɣteleɾia
redactora reðaɣtoɾa
mapuche mapuʧe
picadillo pikaðiʝo
cacumen kakumen
plaqueta plaketa
chesco ʧesko
remolinos remolinos
carestía kaɾestia
baho bao
exotoxina eɣsotoɣsina
departamentos ˌtjenda poɾ ðepaɾtamentos
fatalismos fatalizmos
nuevo ˌaɲo nweβo
cagones kaɣones
cagones kaɣones
cagón kaɣon
cagón kaɣon
bandolero bandoleɾo
jurista xuɾista
barquillo baɾkiʝo
microbioma mikɾoβjoma
endemismo endemizmo
jaquetón xaketon
toquis tokis
escribanía eskɾiβania
usurpadoras usuɾpaðoɾas
estadunidense estaðuniðense
energúmeno eneɾɣumeno
tigresa tiɣɾesa
usurpadora usuɾpaðoɾa
tagalo taɣalo
tagalo taɣalo
femeninos femeninos
podre poðɾe
ramal ramal
pietismo pjetizmo
iletrado iletɾaðo
coquito kokito
déspota despota
microcomputador mikɾokomputaðoɾ
cocoliche kokoliʧe
hostal ostal
joyera xoʝeɾa
cambalache kambalaʧe
farmacología faɾmakoloxia
aimará ajmaɾa
aimará ajmaɾa
encantamiento eŋkantamjento
calvos kalβos
calvas kalβas
trompe-l'œil tɾomplej
humidificador umiðifikaðoɾ
rédito reðito
humorada umoɾaða
criadita kɾjaðita
metedura meteðuɾa
metalúrgicos metaluɾxikos
metralleta metɾaʝeta
salinidad saliniðað
prebenda pɾeβenda
flatos flatos
hipertermia ipeɾteɾmja
burgalesa buɾɣalesa
nomeolvides nomeolβiðes
burgalés buɾɣales
lentillo lentiʝo
sepulcro sepulkɾo
petroglifo petɾoɣlifo
tirantes tiɾantes
flato flato
mieludo mjeluðo
videntes biðentes
contentura kontentuɾa
patera pateɾa
riachuelo rjaʧwelo
salero saleɾo
calleja kaʝexa
bígamos biɣamos
bígamas biɣamas
apología apoloxia
temerarios temeɾaɾjos
bígamo biɣamo
bígama biɣama
teólogo teoloɣo
institutor institutoɾ
tortillero toɾtiʝeɾo
tortillero toɾtiʝeɾo
flebitis fleβitis
masculinidad maskuliniðað
discalculia diskalkulja
solanina solanina
astrónoma astɾonoma
antropóloga antɾopoloɣa
alginato alxinato
granulomatosis ɡɾanulomatosis
nerdo neɾðo
grelina ɡɾelina
plasta plasta
tiple tiple
argamasa aɾɣamasa
chiquitita ʧikitita
chiquitito ʧikitito
pilpil pilpil
pilpil pilpil
normopeso noɾmopeso
secuta sekuta
bloguero bloɣeɾo
servato seɾβato
salitre salitɾe
efigie efixje
guardameta ɡwaɾðameta
malabar malaβaɾ
volador plaˌtiʝo βolaðoɾ
batel batel
morro moro
axón aɣson
corsé koɾse
teto teto
volante plaˌtiʝo βolante
alcantarillado alkantaɾiʝaðo
pajaroneo paxaɾoneo
muchachita muʧaʧita
familiaridad familjaɾiðað
chamorro ʧamoro
chamorro ʧamoro
gerifalte alˌkoŋ xeɾifal̪te
salmantinas salmantinas
salmantina salmantina
salmantino salmantino
gerifalte xeɾifal̪te
salmantinos salmantinos
ortigas oɾtiɣas
estocada estokaða
macabeo makaβeo
macabeo makaβeo
macabeo makaβeo
venida beniða
venidas beniðas
llegadas ʝeɣaðas
mamaderas mamaðeɾas
mamadera mamaðeɾa
garabato ɡaɾaβato
sedero seðeɾo
coágulo koaɣulo
cachucha kaʧuʧa
iraki iɾaki
rali rali
individualidad indiβiðwaliðað
margajita maɾɣaxita
chulengo ʧuleŋɡo
pedriscos peðɾiskos
pedrisco peðɾisko
humorista umoɾista
adventista aðβentista
diletante diletante
divisionismo diβisjonizmo
somnífero somnifeɾo
urología uɾoloxia
nipón nipon
libre ˌluʧa liβɾe
grecorromana ˌluʧa ɣɾekoromana
anchoveta anʲʧoβeta
gatera ɡateɾa
bagre baɣɾe
seña ˌsanto i seɲa
ojota oxota
hawaianos awajanos
hawaianas awajanas
bacteriemia baɣteɾjemja
escaque eskake
guarro ɡwaro
guarro ɡwaro
lejanía lexania
absolutista aβsolutista
dragona dɾaɣona
alminar alminaɾ
tábano taβano
cachimbas kaʧimbas
gálibo ɡaliβo
médium meðjum
chapero ʧapeɾo
sintoísmo sintoizmo
bengalí beŋɡali
bengalí beŋɡali
mirador miɾaðoɾ
miradores miɾaðoɾes
canilla kaniʝa
ducto duɣto
diacrítico djakɾitiko
isquemia iskemja
homóloga omoloɣa
bangaña baŋɡaɲa
chupeta ʧupeta
quiché kiʧe
quiché kiʧe
mejicana mexikana
mejicanas mexikanas
mejicanos mexikanos
mejicano mexikano
nefrología nefɾoloxia
nefrólogo nefɾoloɣo
cahuín kawin
aalenianos alenjanas
currito kurito
curri kuri
sumergible sumeɾxiβle
morrocoy morokoj
ingenuidad iŋxenwiðað
plumaje plumaxe
araucanas aɾawkanas
araucanos aɾawkanos
araucana aɾawkana
paliativo paljatiβo
lentitud lentituð
mixtura miɣstuɾa
blanco ˌbino βlaŋko
trampera tɾampeɾa
viento moˌlino ðe βjento
cabildo kaβil̪do
cantonesas kantonesas
cantoneses kantoneses
catalepsia kataleβsja
ranacuajo ranakwaxo
cantonés kantones
cantonés kantones
métricas metɾikas
perímetros peɾimetɾos
norteños noɾteɲos
cosméticas kozmetikas
gimnasta ximnasta
cólicos kolikos
novelistas noβelistas
pataleta pataleta
norteñas noɾteɲas
fanfarrones faɱfarones
nórdicas noɾðikas
columnista kolumnista
norteña noɾteɲa
chismoso ʧizmoso
métrica metɾika
térmicas teɾmikas
cosmética kozmetika
estereotipo esteɾeotipo
flósculo floskulo
cantonesa kantonesa
fanfarrona faɱfarona
peda peða
lusa lusa
aranto aɾanto
pintxo pinʲʧo
tanguito taŋɡito
gachas ɡaʧas
gachas ɡaʧas
consultor konsul̪toɾ
frior fɾjoɾ
pársec paɾsek
solera soleɾa
lolos lolos
alaraca alaɾaka
solomillo solomiʝo
complementos komplementos
proctóloga pɾoɣtoloɣa
chismosa ʧizmosa
sorbete soɾβete
sorbete soɾβete
sorbeto soɾβeto
sorbeto soɾβeto
sobreseimiento soβɾesejmjento
devotos deβotos
devotas deβotas
lagar laɣaɾ
veguero beɣeɾo
pavero paβeɾo
espartanas espaɾtanas
espartana espaɾtana
espartanos espaɾtanos
espartano espaɾtano
angitis aŋxitis
contendor kontendoɾ
remisero remiseɾo
repe repe
bilingüismo biliŋɡwizmo
nanos nanos
abigeo aβixeo
ulmo ulmo
cavos kaβos
aviarios aβjaɾjos
sinos sinos
edecán eðekan
cursores kuɾsoɾes
fimo fimo
carbones kaɾβones
tarsero taɾseɾo
pipera pipeɾa
adamante aðamante
arcanos aɾkanos
vanos banos
sardonia saɾðonja
vicaria bikaɾja
gregarios ɡɾeɣaɾjos
gregarias ɡɾeɣaɾjas
castas kastas
carolina kaɾolina
bibosi biβosi
festivos festiβos
validos baliðos
sectaria seɣtaɾja
festas festas
sectario seɣtaɾjo
indicativos indikatiβos
lusos lusos
musculosas muskulosas
priscos pɾiskos
luso luso
lusas lusas
musculosa muskulosa
derivativos deɾiβatiβos
cantimplora kantimploɾa
clavario klaβaɾjo
divos diβos
pedito peðito
coriandro koɾjandɾo
contubernio kontuβeɾnjo
palmeta palmeta
rastra rastɾa
galbana ɡalβana
capense kapense
laterales lateɾales
hígados iɣaðos
adherente aðeɾente
adherente aðeɾente
frontis fɾontis
eclipsi ekliβsi
entalpía entalpia
fuste fuste
agros aɣɾos
estirón estiɾon
pillos piʝos
chamullo ʧamuʝo
duramadre duɾamaðɾe
druidismo dɾwiðizmo
drusa dɾusa
extremeñas eɣstɾemeɲas
extremeños eɣstɾemeɲos
extremeña eɣstɾemeɲa
seminarios seminaɾjos
floristas floɾistas
conspiradores konspiɾaðoɾes
conspiradoras konspiɾaðoɾas
guarra ɡwara
inconvenientes iŋkombenjentes
porros poros
conspiradora konspiɾaðoɾa
conspirador konspiɾaðoɾ
contextos konteɣstos
hipocondriaco ipokondɾjako
infusión iɱfusjon
bohemio boemjo
aforismo afoɾizmo
hipocondríaco ipokondɾiako
estelas estelas
cardos kaɾðos
diagnósticos djaɣnostikos
estela estela
lobista loβista
inexperta ineɣspeɾta
inexperto ineɣspeɾto
simas simas
geriatría xeɾjatɾia
geriátrico xeɾjatɾiko
güira ˌbela ɣwiɾa
cuarterón kwaɾteɾon
polola polola
irrealidad irealiðað
oralidad oɾaliðað
mataburros mataβuros
criticón kɾitikon
plenitud plenituð
incredulidad iŋkɾeðuliðað
reflexión refleɣsjon
abertzale aβeɾʧale
escribiente eskɾiβjente
rulos rulos
charada ʧaɾaða
inmueble immweβle
sofrología sofɾoloxia
péndola pendola
patinadora patinaðoɾa
patinadores patinaðoɾes
patinadoras patinaðoɾas
sorbos soɾβos
pólipo polipo
kion kjon
daimio dajmjo
pieses pjeses
cuita kwita
ménade menaðe
esquirol eskiɾol
entrismo entɾizmo
eolio eoljo
eolia eolja
eperlano epeɾlano
listillo listiʝo
renglón reŋɡlon
epodo epoðo
mamotreto mamotɾeto
furni fuɾni
ergativo eɾɣatiβo
diacríticos djakɾitikos
rescatista reskatista
icor ikoɾ
singularidad siŋɡulaɾiðað
maullido mawʝiðo
aullido awʝiðo
vegada beɣaða
escara eskaɾa
estimativo estimatiβo
farola faɾola
aguapanela aɣwapanela
barragán baraɣan
barragán baraɣan
actuario aɣtwaɾjo
actuarias aɣtwaɾjas
setiembre setjembɾe
actuaria aɣtwaɾja
extranjerismo eɣstɾaŋxeɾizmo
tarántula taɾantula
adversarias aðβeɾsaɾjas
sodio kloˌɾuɾo ðe soðjo
poblada poβlaða
chingona ʧiŋɡona
dominicos dominikos
dominicas dominikas
dominico dominiko
hidroplano iðɾoplano
antihéroe antjeɾoe
antiheroína antjeɾoina
captivo kaβtiβo
muñón muɲon
aranés aɾanes
aranés aɾanes
tonel tonel
joyel xoʝel
pavón paβon
cabildera kaβil̪deɾa
verborrea beɾβorea
cuneiformes kunejfoɾmes
aspiradas aspiɾaðas
aspirada aspiɾaða
trajebaño tɾaxeβaɲo
malagueño malaɣeɲo
papaíto papaito
jipa xipa
yela ʝela
guión ɡjon
cuórum kwoɾum
sapito sapito
mascarada maskaɾaða
autocrítica awtokɾitika
arequipe aɾekipe
rigués riɣes
malcriado malkɾjaðo
cabria kaβɾja
guardés ɡwaɾðes
escoto eskoto
tocaria tokaɾja
comparativos kompaɾatiβos
ofi ofi
yayo ʝaʝo
clerico kleɾiko
trena tɾena
frutero fɾuteɾo
bramido bɾamiðo
rastras rastɾas
pallar paʝaɾ
pajar paxaɾ
yeyo ʝeʝo
guamil ɡwamil
incautos iŋkawtos
costillar kostiʝaɾ
sastrería sastɾeɾia
antónimas antonimas
antónima antonima
meridianos meɾiðjanos
pandero pandeɾo
pedagogas peðaɣoɣas
pedagogos peðaɣoɣos
farmacoterapia faɾmakoteɾapja
pedagoga peðaɣoɣa
perfidias peɾfiðjas
fierro fjero
locutor lokutoɾ
varga baɾɣa
colinabo kolinaβo
rati rati
jurel xuɾel
serrano xaˌmon serano
chupito ʧupito
empanadilla empanaðiʝa
albacora alβakoɾa
chopito ʧopito
varos baɾos
balompié balompje
evasión eβasjon
huila w̝ila
huila w̝ila
tuto tuto
esterlinas esteɾlinas
elfa elfa
puterío puteɾio
prostíbulo pɾostiβulo
aserto aseɾto
mutis mutis
publicano puβlikano
apartados apaɾtaðos
catán katan
bajío baxio
puercoespín pweɾkoespin
aletas aletas
borrados boraðos
confirmante koɱfiɾmante
húmeros umeɾos
ideograma iðeoɣɾama
imitadora imitaðoɾa
entrometido entɾometiðo
purgantes puɾɣantes
imitador imitaðoɾ
choros ʧoɾos
montura montuɾa
alguereses alɣeɾeses
algueresa alɣeɾesa
fulgor fulɣoɾ
interrogantes interoɣantes
abajeña aβaxeɲa
absolutistas aβsolutistas
acomodados akomoðaðos
acomodadas akomoðaðas
faenero faeneɾo
ingratos iŋɡɾatos
ingratas iŋɡɾatas
mistos mistos
acomodada akomoðaða
socorros sokoros
búnker buŋkeɾ
sisas sisas
ómnibus omniβus
honestidades onestiðaðes
recogidas rekoxiðas
recogida rekoxiða
fornicarios foɾnikaɾjos
fornicario foɾnikaɾjo
Tamagotchi tamaɣoʧi
progenitores pɾoxenitoɾes
fornicaria foɾnikaɾja
fornicarias foɾnikaɾjas
ababa aβaβa
tarja taɾxa
insumo insumo
sultanato sul̪tanato
fatalista fatalista
humanos deˌɾeʧos umanos
abulense aβulense
pitufo pitufo
bagaje baɣaxe
tejar texaɾ
pulmonía pulmonia
levedad leβeðað
chancro ʧaŋkɾo
báscula baskula
disensión disensjon
analogía analoxia
regalón reɣalon
fanfarronadas faɱfaronaðas
fanfarronería faɱfaroneɾia
fanfarronada faɱfaronaða
altanería al̪taneɾia
signatura siɣnatuɾa
pirómano piɾomano
tabulador taβulaðoɾ
curtidora kuɾtiðoɾa
curtiduría kuɾtiðuɾia
tenería teneɾia
berrinche berinʲʧe
tacleada takleaða
tachuela taʧwela
chicloso ʧikloso
tafeta tafeta
tabú taβu
desánimo desanimo
tabernáculo taβeɾnakulo
domador domaðoɾ
galimatías ɡalimatias
arrendajo arendaxo
cubil kuβil
pitufa pitufa
foque foke
tarraconense tarakonense
apotegma apoteɣma
botellón boteʝon
llar ʝaɾ
raspadura raspaðuɾa
abulón aβulon
abusador aβusaðoɾ
acompañamiento akompaɲamjento
hospedaje ospeðaxe
cúspide kuspiðe
serratos seratos
cuenco kweŋko
fiscalismo fiskalizmo
dragados dɾaɣaðos
dragado dɾaɣaðo
aditivo aðitiβo
floricultura floɾikul̪tuɾa
toxicómano toɣsikomano
aguilera aɣileɾa
amorío amoɾio
affidávit afiðaβit
advenimiento aðβenimjento
auditora awðitoɾa
alca alka
adaptador aðaβtaðoɾ
acupuntura akupuntuɾa
afiliada afiljaða
autómata awtomata
vengadora beŋɡaðoɾa
vengador beŋɡaðoɾ
tasador tasaðoɾ
tasadora tasaðoɾa
adefesio aðefesjo
atolón atolon
gafapasta ɡafapasta
culeadas kuleaðas
culeada kuleaða
agitadora axitaðoɾa
agitador axitaðoɾ
fucsina fuɣsina
epicrisis epikɾisis
aeródromo aeɾoðɾomo
astronáutica astɾonawtika
rematador remataðoɾ
buhardilla bwaɾðiʝa
subastador suβastaðoɾ
aurícula awɾikula
alineamiento alineamjento
apego apeɣo
alegoría aleɣoɾia
álcali alkali
idilio iðiljo
alternador al̪teɾnaðoɾ
altercado al̪teɾkaðo
anclaje aŋklaxe
amoniaco amonjako
psicoanálisis sikoanalisis
amatista amatista
colirrábano koliraβano
amoníaco amoniako
metafísicos metafisikos
flegma fleɣma
amplificador amplifikaðoɾ
anémona anemona
animadversión animaðβeɾsjon
anestésico anestesiko
franquismo fɾaŋkizmo
aguijada aɣixaða
amigabilidad amiɣaβiliðað
anualidad anwaliðað
baluarte balwaɾte
anticuario antikwaɾjo
antipatía antipatia
consistorio konsistoɾjo
vespertinos bespeɾtinos
áfido afiðo
idoneidad iðonejðað
agitadoras axitaðoɾas
aguileras aɣileɾas
agitadores axitaðoɾes
altercados al̪teɾkaðos
afiliadas afiljaðas
cáustica kawstika
afrodisíaco afɾoðisiako
boticario botikaɾjo
aprensión apɾensjon
apoplejía apoplexia
aplicabilidad aplikaβiliðað
aeródromos aeɾoðɾomos
árbitra aɾβitɾa
apóstol apostol
apóstata apostata
cremallera kɾemaʝeɾa
apostolado apostolaðo
antífona antifona
yoyó ʝoʝo
hilados ilaðos
decanos dekanos
sís sis
chapopote ʧapopote
indigentes indixentes
cuina kwina
plinto plinto
artiga aɾtiɣa
testeo testeo
prostitutos pɾostitutos
costurera kostuɾeɾa
panfleto paɱfleto
sicofante sikofante
cuadrado kiˌlometɾo kwaðɾaðo
amates amates
chusta ʧusta
astringentes astɾiŋxentes
egagrópila eɣaɣɾopila
bividí biβiði
homeopatía omeopatia
geómetra xeometɾa
latero lateɾo
acumulador akumulaðoɾ
atrevimiento atɾeβimjento
gametofito ɡametofito
combatiente kombatjente
combatiente kombatjente
tontina tontina
malparido malpaɾiðo
mástil mastil
pasajera pasaxeɾa
guillotina ɡiʝotina
exequias eɣsekjas
trecho tɾeʧo
balística balistika
hipócritas ipokɾitas
huerto w̝eɾto
inclusas iŋklusas
rollista roʝista
intercolumnio inteɾkolumnjo
insomnes insomnes
inframundo iɱfɾamundo
inspirador inspiɾaðoɾ
hampa ampa
pelito pelito
libia liβja
ario aɾjo
solitud solituð
magisterio maxisteɾjo
mingas miŋɡas
nonagenarios nonaxenaɾjos
nonagenarias nonaxenaɾjas
nonagenario nonaxenaɾjo
nonagenaria nonaxenaɾja
novillo noβiʝo
octogenarios oɣtoxenaɾjos
octogenario oɣtoxenaɾjo
peculio pekuljo
reclusos reklusos
reclusas reklusas
tipografía tipoɣɾafia
sayas saʝas
malhechores maleʧoɾes
malhechor maleʧoɾ
guaje ɡwaxe
chancletas ʧaŋkletas
baranda baɾanda
chancleta ʧaŋkleta
chancleta ʧaŋkleta
rigua riɣwa
tendera tendeɾa
paleto paleto
equinos ekinos
eruditas eɾuðitas
eruditos eɾuðitos
sapera sapeɾa
melio meljo
amador amaðoɾ
gaullista ɡawʝista
lapidarios lapiðaɾjos
lapidarias lapiðaɾjas
bocha boʧa
bocha boʧa
bocha boʧa
samia samja
lonja loŋxa
lonja loŋxa
relampagueo relampaɣeo
enroques enrokes
chasco ʧasko
christiano kɾistjano
tejados texaðos
perreo pereo
corrompidos korompiðos
corrompidas korompiðas
recuadro rekwaðɾo
corrompida korompiða
corrompido korompiðo
exoesqueleto eɣsoeskeleto
trinitarias tɾinitaɾjas
trinitarios tɾinitaɾjos
pechuga peʧuɣa
retracto retɾaɣto
radfem raðfem
aqueos akeos
aqueas akeas
aqueo akeo
aquea akea
flexura fleɣsuɾa
alholva alolβa
fenogreco fenoɣɾeko
hisopillo isopiʝo
colorantes koloɾantes
perifolio peɾifoljo
perifollo peɾifoʝo
almohadón almoaðon
tallador taʝaðoɾ
contractura kontɾaɣtuɾa
corrosiones korosjones
discrimen diskɾimen
embole embole
planilla planiʝa
literatos liteɾatos
literatas liteɾatas
literata liteɾata
colector koleɣtoɾ
opiato opjato
probatura pɾoβatuɾa
basquetbol baskeðβol
segur seɣuɾ
postulador postulaðoɾ
mejoría mexoɾia
chapines ʧapines
indecoro indekoɾo
cartelera kaɾteleɾa
chairo ʧajɾo
chairo ʧajɾo
memorando memoɾando
quina kina
quina kina
crowdfunding kɾawðfandin
chapeo ʧapeo
adquirente aðkiɾente
guaraná ɡwaɾana
globalista ɡloβalista
talkie ˌwoki toki
muestrario mwestɾaɾjo
SST eseesete
puya puʝa
chupetón ʧupeton
parador paɾaðoɾ
chupón ʧupon
perihelio ˌpeɾjeljo
mojarra moxara
kufiya kufiʝa
hitlerismo xitleɾizmo
imagismo imaxizmo
bachatero baʧateɾo
gobernadoras ɡoβeɾnaðoɾas
cocalero kokaleɾo
charanga ʧaɾaŋɡa
predador pɾeðaðoɾ
innatismo innatizmo
inquilinato iŋkilinato
yokai ʝokaj
aguinaldo aɣinal̪do
palenque paleŋke
interino inteɾino
irenismo iɾenizmo
ipecacuana ipekakwana
loncha lonʲʧa
irredentista ireðentista
islamita islamita
brigadista bɾiɣaðista
poseedor poseeðoɾ
alimaña alimaɲa
rutinas rutinas
filósofas filosofas
rectitud reɣtituð
filósofos filosofos
rescatador reskataðoɾ
bastonada bastonaða
butiro butiɾo
obertura oβeɾtuɾa
enseres enseɾes
legalismo leɣalizmo
lenitivo lenitiβo
chita ʧita
gustito ɡustito
pasito pasito
pasita pasita
pasote pasote
promesante pɾomesante
pasota pasota
plantita plantita
pasante pasante
grupero ɡɾupeɾo
materialistas mateɾjalistas
guitarristas ɡitaristas
coworking kowoɾkin
frevo fɾeβo
oyamel oʝamel
catacumbas katakumbas
