abactor ɐbɐktoɾ
maiúscula majuʃkulɐ
procariotos pɾɔkɐɾjɔtuʃ
perfuradora pɨɾfuɾɐdoɾɐ
abalada ɐbɐladɐ
paridade pɐɾidadɨ
biossíntese ˌbiɔsĩtɨzɨ
tungstenita tũɡiʃtɨnitɐ
hemólise imɔlizɨ
incinerador ĩsinɨɾɐdoɾ
colagénio kulɐʒɛnju
trilhão tɾiʎɐ̃w̃
proteólise pɾutjɔlizɨ
convívio kõvivju
fenótipo fɨnɔtipu
desidratase dɨzidɾɐtazɨ
laminação lɐminɐsɐ̃w̃
fusível fuzivɛl
incorporação ĩkuɾpuɾɐsɐ̃w̃
incrustação ĩkɾuʃtɐsɐ̃w̃
obturação ɔbtuɾɐsɐ̃w̃
micoplasma mikuplaʒmɐ
lactação lɐktɐsɐ̃w̃
penetração pɨnɨtɾɐsɐ̃w̃
hipersensibilidade ˌipɛɾsẽsibilidadɨ
estatueta (i)ʃtɐtwetɐ
preservador pɾɨzɨɾvɐdoɾ
ramificação ʁɐmifikɐsɐ̃w̃
neurotransmissor newɾutɾɐ̃ʒmisoɾ
adoçante ɐdusɐ̃tɨ
pestana pɨʃtɐnɐ
túbulo tubulu
inapetência inɐpɨtẽsjɐ
transmutação tɾɐ̃ʒmutɐsɐ̃w̃
ionizante junizɐ̃tɨ
cisão sizɐ̃w̃
cabedal kɐbɨdal
berkélio bɨɾkɛlju
coronária kuɾunaɾjɐ
albuminúria albuminuɾjɐ
impulsividade ĩpulsividadɨ
complexação kõplɨksɐsɐ̃w̃
nefrotoxicidade nɨfɾutuksisidadɨ
córtex kɔɾtɛks
insígnia ĩsiɡnjɐ
dicarbeto ˌdikɐɾbetu
detonados dɨtunaduʃ
chicotada ʃikutadɐ
bismutinita biʒmutinitɐ
difração difɾɐsɐ̃w̃
sapatilha sɐpɐtiʎɐ
desaceleração dɨzɐsɨlɨɾɐsɐ̃w̃
retábulo ʁɨtabulu
litargírio litɐɾʒiɾju
digitalização diʒitɐlizɐsɐ̃w̃
implosão ĩpluzɐ̃w̃
assobio ɐsubiu
deslocalização dɨʒlukɐlizɐsɐ̃w̃
citadino sitɐdinu
epitélio ipitɛlju
nuclídeo nuklidju
severidade sɨvɨɾidadɨ
lawrêncio lawɾẽsju
granel ɡɾɐnɛl
minerador minɨɾɐdoɾ
mononitreto ˌmɔnɔnitɾetu
rachadura ʁɐʃɐduɾɐ
inicialização inisjɐlizɐsɐ̃w̃
rosácea ʁuzasjɐ
rotação ʁutɐsɐ̃w̃
monocarbeto ˌmɔnɔkɐɾbetu
peculiaridade pɨkuljɐɾidadɨ
periculosidade pɨɾikuluzidadɨ
retábulos ʁɨtabuluʃ
confiabilidade kõfjɐbilidadɨ
octóxido ɔktɔksidu
repulsão ʁɨpulsɐ̃w̃
córtices kɔɾtisɨʃ
uranita uɾɐnitɐ
uraninita uɾɐninitɐ
volatilidade vulɐtilidadɨ
analisador ɐnɐlizɐdoɾ
radionuclídeo ˌʁadjɔnuklidju
acalanto ɐkɐlɐ̃tu
proliferação pɾulifɨɾɐsɐ̃w̃
díptico diptiku
visionação vizjunɐsɐ̃w̃
hexóxido iksɔksidu
visionamento vizjunɐmẽtu
políptico puliptiku
babado bɐbadu
dançarino dɐ̃sɐɾinu
dançarina dɐ̃sɐɾinɐ
tabuleiro tɐbulɐjɾu
frontaria fɾõtɐɾiɐ
beirado bɐjɾadu
mercearia mɨɾsjɐɾiɐ
gravura ɡɾɐvuɾɐ
capitania kɐpitɐniɐ
pudicícia pudisisjɐ
poliante ˌpɔliɐ̃tɨ
bailarino bajlɐɾinu
polianita ˌpɔliɐnitɐ
poliândrio ˌpɔliɐ̃dɾiu
poliargirita ˌpɔliɐɾʒiɾitɐ
formigueiro fuɾmiɡɐjɾu
elegância ilɨɡɐ̃sjɐ
poliamida ˌpɔliɐmidɐ
virada viɾadɐ
conversação kõvɨɾsɐsɐ̃w̃
polianteia ˌpɔliɐ̃tɐjɐ
alcoíla alkwilɐ
cibersexo ˌsibɛɾsɛksu
ciberataque ˌsibɛɾɐtakɨ
hexil iksil
alegação ɐlɨɡɐsɐ̃w̃
ciberguerra ˌsibɛɾɡɛʁɐ
cicloexano sikluɨksɐnu
floração fluɾɐsɐ̃w̃
embrulho ẽbɾuʎu
hexadecano iksɐdɨkɐnu
plantação plɐ̃tɐsɐ̃w̃
butil butil
halogenação ɐluʒɨnɐsɐ̃w̃
neutralidade newtɾɐlidadɨ
sobreposição subɾɨpuzisɐ̃w̃
neurotoxina newɾutuksinɐ
isooctano izwuktɐnu
nucleófilo nukliɔfilu
ablução ɐblusɐ̃w̃
abatimento ɐbɐtimẽtu
octeno ɔktenu
abolição ɐbulisɐ̃w̃
substituinte subʃtituj̃tɨ
abrolho ɐbɾoʎu
arrefecimento ɐʁɨfɛsimẽtu
abóbada ɐbɔbɐdɐ
afilhada ɐfiʎadɐ
acolhimento ɐkuʎimẽtu
afilhado ɐfiʎadu
abnegação ɐbnɨɡɐsɐ̃w̃
aleijão ɐlɐjʒɐ̃w̃
agrura ɐɡɾuɾɐ
admiração ɐdmiɾɐsɐ̃w̃
varal vɐɾal
alagadiço ɐlɐɡɐdisu
acomodamento ɐkumudɐmẽtu
alimária ɐlimaɾjɐ
algibeira alʒibɐjɾɐ
alvorada alvuɾadɐ
agiota ɐʒjɔtɐ
alvitre alvitɾɨ
alicerce ɐlisɛɾsɨ
algoz alɡɔʃ
altruísta altɾuiʃtɐ
amabilidade ɐmɐbilidadɨ
ambiência ɐ̃bjẽsjɐ
altruístas altɾuiʃtɐʃ
alvará alvɐɾa
almoxarife almuʃɐɾifɨ
aluá ɐlwa
alvoroço alvuɾosu
altanaria altɐnɐɾiɐ
amigue ɐmiɡɨ
educador idukɐdoɾ
árias aɾjɐʃ
ópio ɔpju
amolação ɐmulɐsɐ̃w̃
amplidão ɐ̃plidɐ̃w̃
ânsia ɐ̃sjɐ
índia ĩdjɐ
angústia ɐ̃ɡuʃtjɐ
apalermado ɐpɐlɨɾmadu
animosidade ɐnimuzidadɨ
apodrecimento ɐpɾudɾɨsimẽtu
apatetado ɐpɐtɛtadu
ardil ɐɾdil
xale ʃalɨ
anglicanismos ɐ̃ɡlikɐniʒmuʃ
armarinho ɐɾmɐɾiɲu
arcanjo ɐɾkɐ̃ʒu
dardânio dɐɾdɐnju
arrabalde ɐʁɐbaldɨ
arraial ɐʁajal
asserção ɐsɨɾsɐ̃w̃
atilho ɐtiʎu
assuada ɐswadɐ
anglicanismo ɐ̃ɡlikɐniʒmu
assíntota ɐsĩtutɐ
arrepio ɐʁɨpiu
asseio ɐsɐju
assombro ɐsõbɾu
arrebol ɐʁɨbɔl
astúcia ɐʃtusjɐ
arremedo ɐʁɨmedu
ará ɐɾa
azedume ɐzɨdumɨ
bafio bɐfiu
azinhaga ɐziɲaɡɐ
benfeitor ˌbɐ̃j̃fɐjtoɾ
baixeza bajʃezɐ
bajulação bɐʒulɐsɐ̃w̃
bambuzal bɐ̃buzal
barracão bɐʁɐkɐ̃w̃
banalidade bɐnɐlidadɨ
baralhada bɐɾɐʎadɐ
batente bɐtẽtɨ
batelão bɐtɨlɐ̃w̃
bastião bɐʃtjɐ̃w̃
barateza bɐɾɐtezɐ
bandalheira bɐ̃dɐʎɐjɾɐ
beribéri bɛɾibɛɾi
arroubo ɐʁo(w)bu
beneditino bɨnɨditinu
balouço bɐlo(w)su
beicinho bɐjsiɲu
baiano bajɐnu
beiço bɐjsu
baralho bɐɾaʎu
açoite ɐsojtɨ
pincéis pĩsɐjʃ
brilhantismo bɾiʎɐ̃tiʒmu
baiana bajɐnɐ
batedor bɐtɨdoɾ
cabinda kɐbĩdɐ
brutalidade bɾutɐlidadɨ
borrifo buʁifu
burguesia buɾɡɨziɐ
cacófaton kɐkɔfɐtɔn
cafezal kɐfɛzal
cacunda kɐkũdɐ
caieira kajɐjɾɐ
cachopa kɐʃɔpɐ
bergantim bɨɾɡɐ̃tĩ
cacófato kɐkɔfɐtu
calçamento kalsɐmẽtu
burguês buɾɡeʃ
campina kɐ̃pinɐ
calhamaço kɐʎɐmasu
canalhice kɐnɐʎisɨ
canalização kɐnɐlizɐsɐ̃w̃
caixeiro kajʃɐjɾu
cachorrinho kɐʃuʁiɲu
botequim butɨkĩ
capinzal kɐpĩzal
capelão kɐpɨlɐ̃w̃
capim kɐpĩ
cajueiro kɐʒwɐjɾu
carão kɐɾɐ̃w̃
cacoete kɐkwetɨ
carroceiro kɐʁusɐjɾu
carimbo kɐɾĩbu
canteiro kɐ̃tɐjɾu
capoeiragem kɐpwɐjɾaʒɐ̃j̃
caligrafia kɐliɡɾɐfiɐ
cançoneta kɐ̃sunetɐ
cadarço kɐdaɾsu
alperce alpɛɾsɨ
cavalheirismo kɐvɐʎɐjɾiʒmu
cambalacho kɐ̃bɐlaʃu
casinha kɐziɲɐ
casebre kɐzɛbɾɨ
cantador kɐ̃tɐdoɾ
dióspiro djɔʃpiɾu
casario kɐzɐɾiu
geleia ʒɨlɐjɐ
geleia ʒɨlɐjɐ
chamalote ʃɐmɐlɔtɨ
candeia kɐ̃dɐjɐ
chamariz ʃɐmɐɾiʃ
cabeceira kɐbɨsɐjɾɐ
chefia ʃɨfiɐ
chefatura ʃɨfɐtuɾɐ
chinelas ʃinɛlɐʃ
chácara ʃakɐɾɐ
capadócio kɐpɐdɔsju
cizânia sizɐnjɐ
circunscrição siɾkũʃkɾisɐ̃w̃
caucásico kawkaziku
claridade klɐɾidadɨ
benzinho ˌbɐ̃j̃ziɲu
cartinha kɐɾtiɲɐ
diospiro djɔʃpiɾu
diospireiro djɔʃpiɾɐjɾu
coesão kwɨzɐ̃w̃
bisavó bizɐvɔ
cocheiro kuʃɐjɾu
chinela ʃinɛlɐ
cipó sipɔ
catecismo kɐtɨsiʒmu
clarão klɐɾɐ̃w̃
cogitação kuʒitɐsɐ̃w̃
columbofilia kulũbufiliɐ
comoção kumusɐ̃w̃
cochilo kuʃilu
compunção kõpũsɐ̃w̃
comediógrafo kumɨdjɔɡɾɐfu
condecoração kõdɨkuɾɐsɐ̃w̃
coisinha kojziɲɐ
companha kõpɐɲɐ
concupiscência kõkupiʃsẽsjɐ
conjuração kõʒuɾɐsɐ̃w̃
interior kɐmizɔlɐ ĩtɨɾjoɾ
congraçamento kõˌɡɾasɐmẽtu
congregação kõɡɾɨɡɐsɐ̃w̃
consolação kõsulɐsɐ̃w̃
confidência kõfidẽsjɐ
constatação kõʃtɐtɐsɐ̃w̃
construtor kõʃtɾutoɾ
consórcio kõsɔɾsju
contragosto ˌkõtɾɐɡoʃtu
contradança kõtɾɐdɐ̃sɐ
alteia altɐjɐ
cobrador kubɾɐdoɾ
contraventor kõtɾɐvẽtoɾ
condiscípulo kõdiʃsipulu
corretismo kuʁɨtiʒmu
cônsules kõsulɨʃ
cupidez kupideʃ
contribuinte kõtɾibuj̃tɨ
crisântemo kɾizɐ̃tɨmu
cotovia kutuviɐ
coquete kɔkɛtɨ
criançada kɾiɐ̃sadɐ
conveniência kõvɨnjẽsjɐ
cós kɔʃ
fuinha fujɲɐ
couraçado ko(w)ɾɐsadu
crioula kɾio(w)lɐ
convergência kõvɨɾʒẽsjɐ
doninha dɔniɲɐ
cândida kɐ̃didɐ
cruzador kɾuzɐdoɾ
debrum dɨbɾũ
decepção dɨsɨpsɐ̃w̃
visom vizõ
conversador kõvɨɾsɐdoɾ
curral kuʁal
furão fuɾɐ̃w̃
furão fuɾɐ̃w̃
demasia dɨmɐziɐ
derriço dɨʁisu
cortejador kuɾtɨʒɐdoɾ
delírio dɨliɾju
deliquescência dɨlikɨʃsẽsjɐ
calhau kɐʎaw
deboche dɨbɔʃɨ
delegacia dɨlɨɡɐsiɐ
denunciador dɨnũsjɐdoɾ
crente kɾẽtɨ
desalento dɨzɐlẽtu
contramestra ˌkõtɾɐmɛʃtɾɐ
decote dɨkɔtɨ
desabrimento dɨzɐbɾimẽtu
desavença dɨzɐvẽsɐ
desdém dɨʒdɐ̃j̃
decálogo dɨkaluɡu
deputado dɨputadu
contramestre ˌkõtɾɐmɛʃtɾɨ
paramita pɐɾɐmitɐ
desazo dɨzazu
desdéns dɨʒdɐ̃j̃ʃ
lojista luʒiʃtɐ
desencargo dɨzẽkaɾɡu
descontentamento dɨʃkõtẽtɐmẽtu
descendência dɨʃsẽdẽsjɐ
descompostura dɨʃkõpuʃtuɾɐ
desfastio dɨʃfɐʃtiu
desengano dɨzẽɡɐnu
desfavor dɨʃfɐvoɾ
blandícia blɐ̃disjɐ
desenganos dɨzẽɡɐnuʃ
desacordo dɨzɐkoɾdu
dindinho dĩdiɲu
diretriz diɾɨtɾiʃ
perspetiva pɨɾʃpɛtivɐ
finado finadu
desembaraço dɨzẽbɐɾasu
diluimento dilujmẽtu
desorganização dɨzɔɾɡɐnizɐsɐ̃w̃
dessemelhança dɨʃsɨmɨʎɐ̃sɐ
desregramento dɨʒʁɨɡɾɐmẽtu
desvantagem dɨʒvɐ̃taʒɐ̃j̃
raquete ʁakɛtɨ
destampatório dɨʃtɐ̃pɐtɔɾju
dialética diɐlɛtikɐ
desfalecimento dɨʃfɐlɨsimẽtu
desinteresse dɨzĩtɨɾesɨ
desapego dɨzɐpeɡu
sapateado sɐpɐtjadu
despeito dɨʃpɐjtu
diabrura diɐbɾuɾɐ
dissabor disɐboɾ
divagação divɐɡɐsɐ̃w̃
divã divɐ̃
divãs divɐ̃ʃ
dramalhão dɾɐmɐʎɐ̃w̃
discrepância diʃkɾɨpɐ̃sjɐ
dramatização dɾɐmɐtizɐsɐ̃w̃
doutoramento do(w)tuɾɐmẽtu
ecônomo ikonumu
edificação idifikɐsɐ̃w̃
dramaturgo dɾɐmɐtuɾɡu
eflúvio ifluvju
embarcação ẽbɐɾkɐsɐ̃w̃
elevação ilɨvɐsɐ̃w̃
encadeamento ẽkɐdjɐmẽtu
empada ẽpadɐ
destempero dɨʃtẽpeɾu
disciplinador diʃsiplinɐdoɾ
encontrão ẽkõtɾɐ̃w̃
encorajamento ẽkuɾɐʒɐmẽtu
encantamento ẽˌkãtɐmẽtu
embaraço ẽbɐɾasu
enormidade inuɾmidadɨ
entrecho ẽtɾɐ(j)ʃu
engrandecimento ẽɡɾɐ̃dɨsimẽtu
eloquência ilukwẽsjɐ
enterramento ẽtɨʁɐmẽtu
ensopado ẽsupadu
equimose ikimɔzɨ
entreposto ẽtɾɨpoʃtu
enervação inɨɾvɐsɐ̃w̃
entranha ẽtɾɐɲɐ
epitáfio ipitafju
engrandecimentos ẽɡɾɐ̃dɨsimẽtuʃ
enxerga ẽʃeɾɡɐ
enxame ẽʃɐmɨ
fiapo fjapu
jacá ʒɐka
fealdade fjaldadɨ
facada fɐkadɐ
ioiô ˌjojo
epopeia ipupɐjɐ
labuta lɐbutɐ
ingenuidade ĩʒɨnujdadɨ
infalibilidade ĩfɐlibilidadɨ
namorico nɐmuɾiku
patetice pɐtɨtisɨ
pradaria pɾɐdɐɾiɐ
marechal mɐɾɨʃal
pecúlio pɨkulju
quartinho kwɐɾtiɲu
operário ɔpɨɾaɾju
redator ʁɨdatoɾ
humanitário umɐnitaɾju
meneio mɨnɐju
ignomínia iɡnuminjɐ
rodagem ʁudaʒɐ̃j̃
estada (i)ʃtadɐ
retalho ʁɨtaʎu
tropeço tɾupɛsu
escarcéu (i)ʃkɐɾsɛw
harmónico ɐɾmɔniku
estalagem (i)ʃtɐlaʒɐ̃j̃
harmónica ɐɾmɔnikɐ
ênfase ẽfɐzɨ
folhetim fuʎɨtĩ
jirau ʒiɾaw
meninice mɨninisɨ
franciscano fɾɐ̃siʃkɐnu
macarrone mɐkɐʁɔnɨ
indeferimento ĩdɨfɨɾimẽtu
pifão pifɐ̃w̃
fidalgos fidalɡuʃ
lacaio lɐkaju
nobreza nubɾezɐ
retidão ʁɨtidɐ̃w̃
galanteio ɡɐlɐ̃tɐju
pontinha põtiɲɐ
patifaria pɐtifɐɾiɐ
plaino plajnu
redenção ʁɨdẽsɐ̃w̃
limpidez lĩpideʃ
professorado pɾufɨsuɾadu
rafaelismo ʁɐfɐɨliʒmu
marmanjo mɐɾmɐ̃ʒu
selvageria sɛlvɐʒɨɾiɐ
rafaelista ʁɐfɐɨliʃtɐ
relaxamento ʁɨlɐʃɐmẽtu
reminiscência ʁɨminiʃsẽsjɐ
estala (i)ʃtalɐ
mocidade musidadɨ
sabichona sɐbiʃonɐ
vocação vukɐsɐ̃w̃
oposicionista ɔpuzisjuniʃtɐ
variz vɐɾiʃ
superioridade supɨɾjuɾidadɨ
fumal fumal
estalo (i)ʃtalu
gregoriano kɐlẽdaɾju ɡɾɨɡuɾjɐnu
zombaria zõbɐɾiɐ
estucador (i)ʃtukɐdoɾ
significação siɡinifikɐsɐ̃w̃
folhinha fuʎiɲɐ
romancista ʁumɐ̃siʃtɐ
trouxa tɾo(w)ʃɐ
falua fɐluɐ
autómato awtɔmɐtu
gargalhada ɡɐɾɡɐʎadɐ
fileira filɐjɾɐ
escaramuça (i)ʃkɐɾɐmusɐ
viação vjɐsɐ̃w̃
esconjuro (i)ʃkõʒuɾu
maciez mɐsjeʃ
indenização ĩdɨnizɐsɐ̃w̃
interinidade ĩtɨɾinidadɨ
marquês mɐɾkeʃ
injunção ĩʒũsɐ̃w̃
galicismo ɡɐlisiʒmu
profusão pɾufuzɐ̃w̃
pedantismo pɨdɐ̃tiʒmu
jornalismo ʒuɾnɐliʒmu
humildade umildadɨ
valdevinos valdɨvinuʃ
zunzum zũzũ
linguado lĩɡwadu
vibração vibɾɐsɐ̃w̃
padroeiro pɐdɾuɐjɾu
soslaio suʒlaju
escopo (i)ʃkopu
esguelha (i)ʒɡɐ(j)ʎɐ
escravatura (i)ʃkɾɐvɐtuɾɐ
indianismo ĩdjɐniʒmu
escrivão (i)ʃkɾivɐ̃w̃
universitário univɨɾsitaɾju
esmo eʒmu
escárnio (i)ʃkaɾnju
esculhambação (i)ʃkuʎɐ̃bɐsɐ̃w̃
escarro (i)ʃkaʁu
universitária univɨɾsitaɾjɐ
esculápio (i)ʃkulapju
escriturário (i)ʃkɾituɾaɾju
espinheiro (i)ʃpiɲɐjɾu
travão tɾɐvɐ̃w̃
estratificação (i)ʃtɾɐtifikɐsɐ̃w̃
plaina plajnɐ
rebolado ʁɨbuladu
espicho (i)ʃpiʃu
escravocrata (i)ʃkɾɐvɔkɾatɐ
fraque fɾakɨ
guarnição ɡwɐɾnisɐ̃w̃
esteira (i)ʃtɐjɾɐ
rebolo ʁɨbolu
laia lajɐ
inferioridade ĩfɨɾjuɾidadɨ
moçambique musɐ̃bikɨ
pilhéria piʎɛɾjɐ
queixinho kɐjʃiɲu
paineira pajnɐjɾɐ
feitio fɐjtiu
rendição ʁẽdisɐ̃w̃
martírio mɐɾtiɾju
filisteu filiʃtew
populacho pupulaʃu
soberba subeɾbɐ
suplício suplisju
tanjas tɐ̃ʒɐʃ
opressão ɔpɾɨsɐ̃w̃
receção ʁɨsɛsɐ̃w̃
estesia (i)ʃtɨziɐ
filão filɐ̃w̃
recetor ʁɨsɛtoɾ
nortista nuɾtiʃtɐ
feição fɐjsɐ̃w̃
fornecedora fuɾnɨsɨdoɾɐ
examinador izɐminɐdoɾ
magote mɐɡɔtɨ
furna fuɾnɐ
estelionatário (i)ʃtɨljunɐtaɾju
estouvado (i)ʃto(w)vadu
indiferença ĩdifɨɾẽsɐ
orago ɔɾaɡu
fornecedor fuɾnɨsɨdoɾ
patoá patwa
notabilidade nutɐbilidadɨ
injustiça ĩʒuʃtisɐ
mascate mɐʃkatɨ
estância (i)ʃtɐ̃sjɐ
estância (i)ʃtɐ̃sjɐ
garça ɡaɾsɐ
lascívia lɐʃsivjɐ
moleza mulezɐ
punhado puɲadu
jorro ʒoʁu
peitoril pɐjtuɾil
prolegômenos pɾulɨɡomɨnuʃ
ramagem ʁɐmaʒɐ̃j̃
risinho ʁiziɲu
redoma ʁɨdomɐ
prefácio pɾɨfasju
navalhada nɐvɐʎadɐ
relha ʁɐ(j)ʎɐ
ramagens ʁɐmaʒɐ̃j̃ʃ
fortim fuɾtĩ
recetora ʁɨsɨtoɾɐ
sainete sajnetɨ
sementeira sɨmẽtɐjɾɐ
estrofe (i)ʃtɾɔfɨ
interrogação ĩtɨʁuɡɐsɐ̃w̃
estouvada (i)ʃto(w)vadɐ
estrídulo (i)ʃtɾidulu
excomunhão (i)ʃkumuɲɐ̃w̃
Vesúvio vɨzuvju
húmus umuʃ
torcedor tuɾsɨdoɾ
torcedor tuɾsɨdoɾ
lassidão lɐsidɐ̃w̃
inovação inuvɐsɐ̃w̃
jovialidade ʒuvjɐlidadɨ
subgerente ˌsubʒɨɾẽtɨ
injúria ĩʒuɾjɐ
mestiçamento mɨʃtisɐmẽtu
fraquejo fɾɐkɐ(j)ʒu
preleção pɾɨlɛsɐ̃w̃
promissão pɾumisɐ̃w̃
rapagão ʁɐpɐɡɐ̃w̃
negrinha nɨɡɾiɲɐ
peixão pɐjʃɐ̃w̃
judiciário ʒudisjaɾju
monarquista munɐɾkiʃtɐ
vidraça vidɾasɐ
horário fuzu ɔɾaɾju
vesúvio vɨzuvju
tardinha tɐɾdiɲɐ
roça ʁɔsɐ
exiguidade iziɡwidadɨ
impaludismo ĩpɐludiʒmu
gastador ɡɐʃtɐdoɾ
saleta sɐletɐ
oratório ɔɾɐtɔɾju
oratório ɔɾɐtɔɾju
palacete pɐlɐsetɨ
veludo vɨludu
vastidão vɐʃtidɐ̃w̃
reativação ʁjativɐsɐ̃w̃
sobranceria subɾɐ̃sɨɾiɐ
sindicância sĩdikɐ̃sjɐ
sobrançaria subɾɐ̃sɐɾiɐ
tico tiku
sobrecasaca subɾɨkɐzakɐ
doçaria dusɐɾiɐ
veludos vɨluduʃ
ilhote iʎɔtɨ
doceiro dusɐjɾu
faniquito fɐnikitu
gíria ʒiɾjɐ
doceira dusɐjɾɐ
expiação (i)ʃpjɐsɐ̃w̃
submissão submisɐ̃w̃
exportação (i)ʃpuɾtɐsɐ̃w̃
traste tɾaʃtɨ
monopólio mɔnɔpɔlju
pasteleira pɐʃtɨlɐjɾɐ
infâmia ĩfɐmjɐ
inclinação ĩklinɐsɐ̃w̃
pasteleiro pɐʃtɨlɐjɾu
pastelaria pɐʃtɨlɐɾiɐ
metrópole mɨtɾɔpulɨ
exorbitância izuɾbitɐ̃sjɐ
risota ʁizɔtɐ
párias paɾjɐʃ
rapaziada ʁɐpɐzjadɐ
singeleza sĩʒɨlezɐ
reprovação ʁɨpɾuvɐsɐ̃w̃
salteio saltɐju
relutância ʁɨlutɐ̃sjɐ
ilegalidade ilɨɡɐlidadɨ
maternidade mɐtɨɾnidadɨ
vintém vĩtɐ̃j̃
vinténs vĩtɐ̃j̃ʃ
turbilhão tuɾbiʎɐ̃w̃
fereza fɨɾezɐ
tarrafa tɐʁafɐ
torpedeiro tuɾpɨdɐjɾu
torpedeira tuɾpɨdɐjɾɐ
lombada lõbadɐ
pejo pɐ(j)ʒu
rês ʁeʃ
maçada mɐsadɐ
sinédoque sinɛdukɨ
réis ʁɐjʃ
puberdade pubɨɾdadɨ
rapazola ʁɐpɐzɔlɐ
palavrinha pɐlɐvɾiɲɐ
rudeza ʁudezɐ
jurisconsulto ʒuɾiʃkõsultu
pavilhão pɐviʎɐ̃w̃
rufião ʁufjɐ̃w̃
pendão pẽdɐ̃w̃
pândega pɐ̃dɨɡɐ
sinuosidade sinwuzidadɨ
volúpia vulupjɐ
torrão tuʁɐ̃w̃
torrão tuʁɐ̃w̃
várzea vaɾzjɐ
justeza ʒuʃtezɐ
rivalidade ʁivɐlidadɨ
fascinação fɐʃsinɐsɐ̃w̃
florão fluɾɐ̃w̃
recanto ʁɨkɐ̃tu
rasteira ʁɐʃtɐjɾɐ
valentão vɐlẽtɐ̃w̃
frêmito fɾemitu
maleita mɐlɐjtɐ
florescimento fluɾɨʃsimẽtu
touceira to(w)sɐjɾɐ
fruteira fɾutɐjɾɐ
fazendeiro fɐzẽdɐjɾu
fascículo fɐʃsikulu
flotilha flutiʎɐ
fatalidade fɐtɐlidadɨ
frisada fɾizadɐ
maledicência mɐlɨdisẽsjɐ
monossílabo ˌmɔnɔsilɐbu
ociosidade ɔsjuzidadɨ
tostão tuʃtɐ̃w̃
neófito njɔfitu
pêsame pezɐmɨ
sensaboria sẽsɐbuɾiɐ
ordenança ɔɾdɨnɐ̃sɐ
vazadouro vɐzɐdo(w)ɾu
munificência munifisẽsjɐ
quintanista kĩtɐniʃtɐ
samburá sɐ̃buɾa
surdina suɾdinɐ
regeneração ʁɨʒɨnɨɾɐsɐ̃w̃
nevão nɨvɐ̃w̃
teimosia tɐjmuziɐ
sensualidade sẽswɐlidadɨ
visconde viʃkõdɨ
montepio mõtɨpiu
latagão lɐtɐɡɐ̃w̃
frieza fɾiezɐ
generalidade ʒɨnɨɾɐlidadɨ
teimosias tɐjmuziɐʃ
fatalidades fɐtɐlidadɨʃ
indolência ĩdulẽsjɐ
meiguice mɐjɡisɨ
sintaxe sĩtasɨ
velhaco vɨʎaku
hospício ɔʃpisju
percevejo pɨɾsɨvɐ(j)ʒu
meã mjɐ̃
sandice sɐ̃disɨ
ordenação ɔɾdɨnɐsɐ̃w̃
prorrogação pɾuʁuɡɐsɐ̃w̃
porteira puɾtɐjɾɐ
porteira puɾtɐjɾɐ
sandices sɐ̃disɨʃ
teima tɐjmɐ
prosperidade pɾuʃpɨɾidadɨ
penugem pɨnuʒɐ̃j̃
gentinha ʒẽtiɲɐ
quiosque kjɔʃkɨ
subúrbio subuɾbju
subvenção ˌsubvẽsɐ̃w̃
visionário vizjunaɾju
palhaçada pɐʎɐsadɐ
malfeitor malfɐjtoɾ
sobriedade subɾiɨdadɨ
malquerença malkɨɾẽsɐ
travo tɾavu
papelão pɐpɨlɐ̃w̃
louça lo(w)sɐ
honorários unuɾaɾjuʃ
poente pwẽtɨ
tenção tẽsɐ̃w̃
lavoura lɐvo(w)ɾɐ
pretensão pɾɨtẽsɐ̃w̃
papelinho pɐpɨliɲu
papelzinho pɐˌpɛlziɲu
malevolência mɐlɨvulẽsjɐ
impersonalidade ĩpɨɾsunɐlidadɨ
lavatório lɐvɐtɔɾju
receituário ʁɨsɐjtwaɾju
telugo tɨluɡu
prestígio pɾɨʃtiʒju
louçania lo(w)sɐniɐ
venalidade vɨnɐlidadɨ
recheado ʁɨʃjadu
incompreensão ĩkõpɾiẽsɐ̃w̃
sentinela sẽtinɛlɐ
pedacinho pɨdɐsiɲu
sonhador suɲɐdoɾ
sociocracia ˌsɔsjɔkɾɐsiɐ
gradil ɡɾɐdil
grotas ɡɾɔtɐʃ
dorminhoco duɾmiɲoku
impulsão ĩpulsɐ̃w̃
imprecação ĩpɾɨkɐsɐ̃w̃
gratificação ɡɾɐtifikɐsɐ̃w̃
perdição pɨɾdisɐ̃w̃
implicância ĩplikɐ̃sjɐ
incursão ĩkuɾsɐ̃w̃
gorjeio ɡuɾʒɐju
insânia ĩsɐnjɐ
incongruência ĩkõɡɾuẽsjɐ
sonhadora suɲɐdoɾɐ
mancheia mɐ̃ʃɐjɐ
lábia labjɐ
legação lɨɡɐsɐ̃w̃
manipanso mɐnipɐ̃su
lugarejo luɡɐɾɐ(j)ʒu
pantanal pɐ̃tɐnal
mancebia mɐ̃sɨbiɐ
lavrador lɐvɾɐdoɾ
ultrassom ˌultɾɐsõ
minhoto miɲotu
infrassom ĩfɾɐsõ
mormaço muɾmasu
imundície imũdisji
míope miupɨ
mortificação muɾtifikɐsɐ̃w̃
mistificação miʃtifikɐsɐ̃w̃
omnisciência ɔmniʃsjẽsjɐ
malícia mɐlisjɐ
gradação ɡɾɐdɐsɐ̃w̃
oleogravura ɔljuɡɾɐvuɾɐ
