abada aβ̞að̞ɐ
froita fɾojt̪ɐ
teito t̪ejt̪ʊ
pobo pɔβ̞ʊ
pementa pemẽn̪t̪ɐ
pemento pemẽn̪t̪ʊ
vocábulo bokaβ̞ulʊ
pereira peɾejɾɐ
tempestade t̪empɛs̺t̪að̞ɪ
meniña meniɲɐ
meniño mɪ̃nĩɲʊ
millo miʎʊ
morote amoɾotɪ
irmán iɾmɑ̃ŋ
irmán iɾmɑ̃ŋ
óbito ɔβ̞it̪ʊ
abeleira aβ̞elejɾɐ
leituga lejt̪uɣ̞ɐ
cordeiro kɔɾðejɾʊ
cordeiro koɾðejɾʊ
anxo anʲʃʊ
abelá aβ̞ela
coitelo kojtelʊ
garavanzo ɡɑɾaβ̞an̪θʊ
borralla boɾa̠ɟɐ
fariña faɾiɲɐ
hóspede ɔs̺peð̞ɪ
sudanés s̺uð̞anes̺
frecha fɾɛt͡ʃɐ
frecha fɾet͡ʃɐ
camiño kɑmĩɲʊ
arquipélago aɾkipɛlɑɣ̞ʊ
raíña raiɲɐ
raíña raiɲɐ
citación θit̪aθjoŋ
rosada rosaðɐ
tratamento t̪ɾat̪amẽn̪t̪ʊ
cogombro koɣombɾʊ
túmulo t̪umulʊ
mendo mendʊ
mendo mendʊ
lucecú luθeku
salamántiga salamantiɣɐ
peza pɛθɐ
veleiro belejɾʊ
discriminación d̪is̺kɾimĩnaθjoŋ
discriminação d̪is̺kɾimĩnaθoŋ
cortador koɾtaðoɾ
bálsamo balsɐmʊ
cota kɔtɐ
sazón s̺aθoŋ
armiño aɾmĩɲʊ
gastroscopio ɡɑs̺t̪ɾos̺kɔpjʊ
planificación planifikɑθjoŋ
aquela akelɐ
eixo ejʃʊ
palillo paliʎʊ
mercadotecnia meɾˌkaðoteknja
prelado pɾelaðʊ
xemelgo ʃemɛɫɣ̞ʊ
intromisión in̪t̪ɾomis̺joŋ
vestimenta bes̺t̪imẽn̪t̪ɐ
deportación d̪epɔɾt̪aθjoŋ
paisano pa̠js̺anʊ
rosca ros̺kɐ
finde fin̪d̪ɪ
purificación puɾifikɑθjoŋ
capacidade kɑpaθið̞að̞ɪ
sevillano s̺eβ̞iɟanʊ
centralización θen̪t̪ɾaliθaθjoŋ
zanco θaŋkʊ
amor amoɾ
taboleiro tabʊlei̯ɾʊ
millar miʎaɾ
millar miʎaɾ
lide liðɪ
nação naθoŋ
papoula papowlɐ
genocídio ʃenoθið̞jʊ
espiga espiɣɐ
machista mat͡ʃis̺t̪ɐ
caridade kɑɾið̞að̞ɪ
cagote kɑɣɔtɪ
estreito estɾejtʊ
marisma maɾismɐ
breva bɾeβ̞ɐ
hucha ut͡ʃɐ
dignidade d̪iŋnið̞að̞ɪ
brizo bɾiθʊ
necrofobia nekɾofɔβ̞jɐ
croucheira kɾowt͡ʃejɾɐ
gorxa ɡɔɾʃɐ
designación d̪es̺iŋnaθjoŋ
falante falan̪t̪ɪ
obriga oβɾiɣɐ
pufo pufʊ
beira bei̯ɾɐ
chambra t͡ʃambɾɐ
voo boʊ
vitalidade bit̪alið̞að̞ɪ
polaina polajnɐ
aguacil ɑɣ̞waθiɫ
cornudo kɔɾnuðʊ
cornudo kɔɾnuðʊ
breixo bɾejʃʊ
malla ma̠ɟɐ
malla ma̠ɟɐ
malla ma̠ɟɐ
cerreta θɛretɐ
avéspora aβɛspʊɾɐ
ximnasio ʃiŋnas̺jʊ
partición paɾt̪iθjoŋ
creba kɾɛβ̞ɐ
quenlla kɛnɟɐ
quenlla kɛnɟɐ
queima kejmɐ
tranquilidade t̪ɾɑŋkilið̞að̞ɪ
basculla bas̺kuɟɐ
trunfo t̪ɾuɱfʊ
triunfador t̪ɾiuɱfað̞oɾ
trindade t̪ɾin̪d̪að̞ɪ
tribulación t̪ɾiβ̞ulaθjoŋ
bruxa bɾuʃɐ
tomento tomentʊ
cacharro kɑt͡ʃarʊ
heroi ɛɾɔɪ
amigdalite amiɣ̞ð̞alit̪ɪ
penca pɛŋkɐ
penca peŋkɐ
edificación eð̞ifikɑθjoŋ
prevención pɾeβ̞en̪θjoŋ
barricada barikɑð̞ɐ
hisopo is̺ɔpʊ
humanidade umãniðaðɪ
citarista θit̪aɾis̺t̪ɐ
ditongo ditoŋɡo̝
zapa θapɐ
carpín kɑɾpiŋ
palerma paleɾmɐ
brazada bɾaθaðɐ
cegoña θeɣoɲɐ
cabrito kɑβɾitʊ
sogro sɔɣɾʊ
maraña maɾaɲɐ
subversivo s̺uβ̞β̞ɛɾs̺iβ̞ʊ
mamai mamaj
baixada bajʃaðɐ
engano eŋɡɑnʊ
nomeada nomeaðɐ
formigo foɾmiɣʊ
gosto ɡʊs̺t̪ʊ
rolada rolað̞ɐ
maroto maɾɔtʊ
pintada pintaðɐ
vinga biŋɡɐ
polarización polaɾiθaθjoŋ
pendencia pen̪d̪en̪θjɐ
meigo mejɣ̞ʊ
mágoa mɑɣ̞oɐ
paixón pa̠jʃoŋ
couso kows̺ʊ
couso kows̺ʊ
vaxina baʃinɐ
biscoito biskojtʊ
visão bis̺oŋ
espora espɔɾɐ
risada ris̺að̞ɐ
abafo aβ̞afʊ
calendario gregoriano kɑlen̪d̪aɾjʊ ɣ̞ɾeɣ̞ɔɾjanʊ
femia femjɐ
canadense kɑnãn̪d̪ens̺ɪ
fedorento feðoɾentʊ
pensamento pensamentʊ
divindade d̪iβ̞in̪d̪að̞ɪ
versatilidade beɾs̺at̪ilið̞að̞ɪ
faco fakʊ
dianteiro diantejɾʊ
erradicación erað̞ikɑθjoŋ
timidez t̪imið̞eθ
creto kɾɛtʊ
vaqueiro bɑkejɾʊ
vaqueiro bɑkejɾʊ
soño s̺oɲʊ
teto tetʊ
cachucha kɑt͡ʃut͡ʃɐ
saúde sauðɪ
louco lowkʊ
ensaio ensajʊ
fedor feð̞oɾ
ferida feɾiðɐ
lagar lɑɣ̞ɑɾ
bilingüismo biliŋɡwiz̺mʊ
cambito kɑmbitʊ
ravo raβ̞ʊ
croca kɾɔkɐ
galbana ɡɑlβ̞anɐ
estela estɛla̝
encarnación eŋkɑɾnaθjoŋ
péndola pendʊlɐ
felonía feloniɐ
esquirol es̺kiɾɔɫ
antecesor anteθesoɾ
vegada beɣaðɐ
pavón paβ̞oŋ
rebo reβʊ
pixo piʃʊ
retallo retaʎʊ
trobo tɾɔβʊ
capacitación kɑpaθit̪aθjoŋ
sinceridade s̺in̪θeɾið̞að̞ɪ
albacora ɑlβ̞ɑkɔɾɐ
evasión eβ̞as̺joŋ
crucifixo kɾuθifiʃʊ
casula kɑsulɐ
codicilo coðiθilʊ
adoración að̞oɾaθjoŋ
acupuntura ɑkupun̪t̪uɾɐ
frade fɾað̞ɪ
autenticidade ˌɑwt̪ɛn̪t̪iθið̞að̞ɪ
asimilación as̺imilaθjoŋ
aeródromo aɛɾɔð̞ɾomʊ
aliteración alit̪eɾaθjoŋ
miolo mjolʊ
honestidade ɔnɛs̺t̪ið̞að̞ɪ
refugo refuɣ̞ʊ
subversor s̺uβ̞β̞ɛɾs̺oɾ
cinamomo θinãmõmʊ
indecoro in̪d̪ekoɾʊ
nabal naβal
cantiga kɑntiɣɐ
facción fɑkθjoŋ
buxa buʃɐ
esgarro ez̺ɣ̞ɑrʊ
xente ʃen̪t̪ɪ
melancolía melɑŋkoliɐ
cidra θiðɾɐ
vitoria bit̪ɔɾjɐ
abastanza aβ̞as̺t̪an̪θɐ
capela kɑpɛlɐ
hórreo oreʊ
queixa kejʃɐ
seiva sejβɐ
seiva sejβɐ
sobrecella soβɾeθeʎɐ
touciño t̪owθiɲʊ
merla mɛɾlɐ
ourego owɾeɣʊ
moscardo moskaɾðʊ
nocella noθeʎɐ
estrofa es̺t̪ɾɔfɐ
teixo t̪ejʃʊ
teixo t̪ejʃʊ
carai kɑɾaj
roupa rowpɐ
feira fejɾɐ
barbada baɾβaðʊ
camada kɑmaðɐ
negrura neɣɾuɾɐ
liña liɲɐ
fiada fiaðɐ
alborada alβoɾaðɐ
pichel pit͡ʃɛɫ
corzo koɾθʊ
zucre θukɾɪ
churrasco t͡ʃuras̺kʊ
arcabuz aɾkɑβ̞uθ
truque tɾukɪ
extravagancia eks̺t̪ɾaβ̞ɑŋɡɑθjɐ
tamboril tamboɾil
carreira kɑrejɾɐ
canivete kaniβetɪ
lorcha lɔɾt͡ʃɐ
carabela kɑɾaβɛlɐ
evocación ɛβ̞okɑθjoŋ
terreiro t̪erejɾʊ
miúdo miuðʊ
sitio web s̺it̪jʊ wɛβ̞
mancebo mãnθeβʊ
alarido alaɾiðʊ
tecnocracia t̪ɛknokɾaθjɐ
tecnócrata t̪ɛknɔkɾat̪ɐ
tornada toɾnaðɐ
burrico burikʊ
pescada peskɑðɐ
serpa seɾpɐ
loucura loʊ̯kuɾɐ
carrasco kɑras̺kʊ
filtración fil̪t̪ɾaθjoŋ
dixital d̪iʃit̪ɑɫ
enfermeiro eɱfeɾmejɾʊ
tristura tɾistuɾɐ
pipote pipɔtɪ
acanaladura ɑkɑnalað̞uɾɐ
queixada kejʃað̞ɐ
madreña maðɾeɲɐ
mutilación mut̪ilaθjoŋ
criba kɾiβɐ
alfaia ɑlfa̠jɐ
alpendre ɑlpen̪d̪ɾɪ
apelido apelið̞ʊ
púcaro pukɐɾʊ
rebento rebentʊ
evitación ɛβ̞it̪aθjoŋ
nasalización nas̺aliθaθjoŋ
caléndula kɑlɛn̪d̪ulɐ
leria lɛɾjɐ
incitación in̪θit̪aθjoŋ
leiva lejβ̞ɐ
manípulo mãnipulʊ
capuchino kɑput͡ʃinʊ
ferrete feretɪ
fial fial
dentón d̪ɛn̪t̪oŋ
parrocha parɔt͡ʃɐ
pancho panʲt͡ʃʊ
triunfalismo t̪ɾiwɱfaliz̺mʊ
besugo bes̺uɣ̞ʊ
brócoli bɾokoli
gheada ɡeað̞ɐ
viela biɛlɐ
convulsión kombuls̺joŋ
recebo reθeβʊ
dificultade d̪ifikul̪t̪að̞ɪ
refén refeŋ
traballador tɾaβaʎaðoɾ
guerreiro ɡɛrejɾʊ
redor redoɾ
fazaña faθaɲɐ
foxo foʃʊ
harpía aɾpiɐ
trollo tɾoʎʊ
trollo tɾoʎʊ
loriga loɾiɣɐ
fundición fun̪d̪iθjoŋ
convexidade kombɛks̺ið̞að̞ɪ
xaula ʃɑwlɐ
vexiga beʃiɣa̝
madroña maðɾoɲɐ
améndoa amẽn̪d̪oɐ
xiringa ʃiɾiŋɡɐ
castañal kɑs̺t̪aɲɑɫ
carantoña kɑɾan̪t̪oɲɐ
pendón pen̪d̪oŋ
cachopo kɑt͡ʃɔpʊ
tornasol t̪ɔɾnas̺oɫ
tornasol t̪ɔɾnas̺oɫ
sargo saɾɣʊ
picón pikoŋ
raspallo raspaʎʊ
himen imẽŋ
peltre pɛl̪t̪ɾɪ
peltre pɛl̪t̪ɾɪ
zamarra θamarɐ
mariscada maɾiskaðɐ
migalla miɣaʎa̝
lebrato lɛβ̞ɾat̪ʊ
lacón lɑkoŋ
apóstolo apɔstʊlʊ
santidade s̺an̪t̪ið̞að̞ɪ
bacharelato βat͡ʃarɛlato
escarapela eskɑɾapɛlɐ
automutilación ˌɑwt̪omut̪ilaθjoŋ
mormo mɔɾmʊ
cágado kaɣɐðʊ
chucho t͡ʃut͡ʃʊ
canil kɑniɫ
bandada bandaðɐ
látego lat̪eɣ̞ʊ
lagoa laɣʊɐ
moura mowɾɐ
moura mowɾɐ
burga buɾɣ̞ɐ
cordal kɔɾðal
vitela bitɛlɐ
invernada imbɛɾnaðɐ
insurrección ins̺urɛkθjoŋ
ranco raŋkʊ
mallada maɟað̞ɐ
mallada maɟað̞ɐ
fardo farðʊ
fermosura feɾmos̺uɾɐ
torga tɔɾɣɐ
cachotaría kɑt͡ʃotaɾiɐ
irmandiño iɾmandiɲʊ
moleira molejɾɐ
zarro θarʊ
variedade baɾjɛð̞að̞ɪ
cruzamento kɾuθamẽn̪t̪ʊ
faixa fa̠jʃɐ
furado fuɾaðʊ
trisca tɾiskɐ
bicada bikɑð̞ɐ
coada koaðɐ
modificação mɔð̞ifikɑθoŋ
profundidade pɾofun̪d̪ið̞að̞ɪ
afinidade afinið̞að̞ɪ
assimilação as̺imilaθoŋ
equipamento ɛkipamẽn̪t̪ʊ
gargalo ɡaɾɣalʊ
letreiro let̪ɾejɾʊ
tarefa t̪aɾɛfɐ
saneamento s̺aneamẽn̪t̪ʊ
sensibilidade s̺ens̺iβ̞ilið̞að̞ɪ
obesidade oβ̞es̺ið̞að̞ɪ
incapacidade iŋkɑpaθið̞að̞ɪ
graxa ɡɾa̠ʃɐ
cribo kɾiβʊ
enfermidade eɱfeɾmiðaðɪ
betume bet̪umɪ
alcalinidade ɑɫkɑlinið̞að̞ɪ
piche pit͡ʃɪ
aluguer aluɡɛɾ
chamamento t͡ʃamamentʊ
conflito koɱflit̪ʊ
ciúme θiumɪ
bondade bondaðɪ
celeiro θelejɾʊ
covarde koβaɾðɪ
carteira kaɾtei̯ɾɐ
aberração aβ̞eraθoŋ
deusa dewsɐ
costeira kostejɾɐ
cobertor koβeɾtoɾ
carteiro kaɾteiɾʊ
carteiro kaɾteiɾʊ
doca dɔkɐ
doca dɔkɐ
celebridade θeleβ̞ɾið̞að̞ɪ
coiro kojɾʊ
encosta enkostɐ
falsidade fɑls̺ið̞að̞ɪ
parceiro paɾθejɾʊ
anoitecer anojteθeɾ
fogueira foɣ̞ejɾɐ
folga fɔlɣɐ
traseira tɾasei̯ɾɐ
isco iskʊ
herdeiro erðejɾʊ
irmandade iɾmandaðɪ
traseiro tɾasei̯ɾʊ
piedade pjɛð̞að̞ɪ
maldade maldaðɪ
pouso powsʊ
porteiro pɔɾtejɾʊ
ruído ruið̞ʊ
rodada roð̞að̞ɐ
totalidade t̪ot̪alið̞að̞ɪ
véspera bɛs̺peɾɐ
varanda baɾan̪d̪ɐ
ampola ampola
loita lojt̪ɐ
manancial mãnãn̪θjɑɫ
brocado bɾɔkɑð̞ʊ
feixe fejʃɪ
tinteiro tintejɾʊ
abadengo aβ̞að̞eŋɡʊ
severidade s̺eβ̞eɾið̞að̞ɪ
formigueiro foɾmiɣ̞ejɾʊ
felón feloŋ
abnegação aβ̞neɣ̞ɑθoŋ
alicerce aliθɛɾθɪ
animosidade anĩmos̺ið̞að̞ɪ
arrebol areβɔl
banzo ban̪θʊ
cabeceira kaβeθei̯ɾɐ
bisavó bis̺aβ̞o
visom bis̺oŋ
visom bis̺oŋ
curral kural
alabardada alaβ̞aɾð̞að̞ɐ
crente kɾɛntɪ
contramestre kontɾamɛstɾɪ
finado finaðʊ
enxame enʃamɪ
mocidade moθiðaðɪ
estalo estalʊ
rebolada reβolaðɐ
trouxa tɾowʃɐ
rebola reβolɐ
linguado liŋɡwað̞ʊ
esteira estejɾɐ
rebolo reβolʊ
rebolo reβolʊ
garrido ɡariðʊ
maternidade mat̪eɾnið̞að̞ɪ
teima tejmɐ
malfeitor malfejtoɾ
respigo respiɣʊ
viúvo biuβʊ
soleira solejɾɐ
colonização kolɔniθaθoŋ
adega aðɛɣɐ
sudaneses s̺uð̞anes̺es̺
cálice kɑliθɪ
esmagamento ez̺mɑɣ̞ɑmẽn̪t̪ʊ
peixe espada pejʃespaðɐ
bacallau bɑkɑɟɑw
bágoa bɑɣ̞oɐ
xabrón ʃaβɾoŋ
tarraxa taraʃɐ
abalo aβalo̝
alardo alaɾðʊ
ditador d̪it̪að̞oɾ
alento alento
antigüidade antiɣwiðaðɪ
arcebispo aɾθɪβispʊ
castelán kɑs̺t̪elɑŋ
castelán kɑs̺t̪elɑŋ
ataúde at̪ɑuð̞ɪ
seguridade s̺eɣ̞uɾið̞að̞ɪ
camboa kɑmboɐ
cambada kɑmbaðɐ
camareiro kɑmaɾejɾʊ
bouba bowβ̞ɐ
bouba bowβɐ
carreiro karejɾʊ
ameaza ameaθɐ
dianteira diantejɾɐ
xovenco ʃʊβeŋkʊ
xoguete ʃoɣetɪ
xoia ʃɔjɐ
zume θumɪ
escumadeira eskumaðei̯ɾɐ
vidreira biðɾejɾɐ
sobriño soβɾiɲʊ
chota t͡ʃɔt̪ɐ
muiñeira muiɲejɾɐ
aparello apaɾeɟʊ
perponto peɾpontʊ
acordanza ɑkoɾð̞an̪θɐ
devesa deβesɐ
tizón tiθoŋ
esparaván espaɾaβaŋ
ollada ɔʎaðɐ
nacemento naθemɛntʊ
polgar polɡaɾ
matapiollos mat̪apjoɟos̺
broa bɾoɐ
caxato kɑʃatʊ
candea kɑndeɐ
pequeniño pekeniɲʊ
xustiza ʃus̺t̪iθɐ
áncora aŋkʊɾɐ
agachadas aɣat͡ʃaðɐs
posguerra poz̺ɣ̞ɛrɐ
aresta aɾestɐ
varelo baɾɛlʊ
buxeo buʃeʊ
galegofalante ɡɑleɣ̞ofalan̪t̪ɪ
esmola ez̺mɔlɐ
coita kojt̪ɐ
coita kojt̪ɐ
arqueta aɾketɐ
zoco θɔkʊ
farrapa farapɐ
crenza kɾenθɐ
surafricano s̺uɾafɾikɑnʊ
pexa peʃɐ
pachorra pat͡ʃorɐ
ombreiro ombɾejɾʊ
alxaba ɑlʲʃaβ̞ɐ
prestación pɾes̺t̪aθjoŋ
segregación s̺eɣ̞ɾɛɣ̞ɑθjoŋ
infiltración iɱfil̪t̪ɾaθjoŋ
roqueiro rokejrʊ
roqueiro rɔkejrʊ
lamentación lamẽn̪t̪aθjoŋ
largueza laɾɣ̞eθɐ
lanceta lanθetɐ
alcume alkumɪ
alcuño alkuɲʊ
crecemento kɾeθemẽn̪t̪ʊ
semellanza semeʎanθɐ
compañeiro kompaɲejɾʊ
vacada bɑkɑð̞ɐ
vilancico bilan̪θikʊ
arao aɾaʊ̯
cabicha kɑβit͡ʃɐ
abetouro aβ̞et̪owɾʊ
solaz solaθ
arlequín aɾlekiŋ
alcatifa ɑɫkɑt̪ifɐ
eito ɛjtʊ
canga kɑŋɡɐ
doenza doɛnθɐ
agoirento aɣojɾentʊ
lagartixa laɣaɾtiʃɐ
insua ins̺wɐ
bruneta bɾunetɐ
berenxena beɾenʲʃenɐ
pelouro pelowɾʊ
actualidade ɑkt̪walið̞að̞ɪ
abdome aβ̞ð̞ɔmɪ
vergoña beɾɣ̞oɲɐ
doiro dojɾʊ
doira dojɾɐ
carruaxe karuaʃɪ
coraxe koɾa̠ʃɪ
xura ʃuɾɐ
xuro ʃuɾʊ
furacán fuɾakaŋ
góndola ɡon̪d̪olɐ
andorga andɔɾɣɐ
monxa mõnʲʃɐ
sineiro s̺inejɾʊ
alongamento aloŋɡamentʊ
terza feira t̪eɾθɐ fejɾɐ
corta feira kɔɾta fejɾɐ
quinta feira kinta fejɾɐ
xiz ʃiθ
freire fɾejɾɪ
golada ɡolaðɐ
adufe aðufɪ
souto s̺owt̪ʊ
billa biʎɐ
alfarroba ɑlfaroβ̞ɐ
mourisco mowɾis̺kʊ
buxeiro buʃejɾʊ
cabreiro kɑβɾejɾʊ
troneira tɾɔnejɾɐ
caneleira kanɛlejɾɐ
castidade kɑs̺t̪ið̞að̞ɪ
carbúnculo kɑɾβ̞uŋkulʊ
carocha kaɾɔt͡ʃɐ
cidreira θið̞ɾejɾɐ
costeleta kostɛletɐ
coveiro kɔβejɾʊ
coxo koʃo̝
coxo koʃo̝
espadeiro espaðejɾʊ
estaleiro estalejɾʊ
estaleiro estalejɾʊ
fervura feɾβuɾɐ
feiticeira fejtiθejɾɐ
chuvisca t͡ʃuβ̞is̺kɐ
pirola piɾɔlɐ
fillo de puta fiɟʊ ð̞ɪ put̪ɐ
carallo kɑɾa̠ɟʊ
espantallo espantaʎʊ
camioneiro kɑmjonejɾʊ
gavacho ɡaβat͡ʃʊ
cumio kumjʊ
impopularidade impopulaɾið̞að̞ɪ
ratoeira rat̪oejɾɐ
chorume t͡ʃoɾumɪ
chimpín t͡ʃimpiŋ
irracionalidade iraθjonalið̞að̞ɪ
ladeira lað̞ejɾɐ
lapela lapɛlɐ
lanceiro lanθejɾʊ
cárcere kɑɾθeɾɪ
sirgo s̺iɾɣ̞ʊ
loureiro lou̯ɾei̯ɾʊ
maioral mai̯oɾal
mentalidade mẽn̪t̪alið̞að̞ɪ
sorteira sɔɾtei̯ɾɐ
pucho put͡ʃʊ
pucho put͡ʃʊ
miríade miɾiað̞ɪ
moleiro molejɾʊ
cachola kɑt͡ʃɔlɐ
malfeito malfejtʊ
osga ɔz̺ɣ̞ɐ
penico pɪnikʊ
cachada kat͡ʃaðɐ
cachada kat͡ʃaðɐ
estrelado estɾelaðʊ
diástole d̪jas̺t̪olɪ
poleiro polejɾʊ
prateiro pɾatejɾʊ
rabaño raβ̞aɲʊ
carballo kɑɾβ̞a̠ɟʊ
sudanesa s̺uð̞anes̺ɐ
padiola paðjɔlɐ
petisco petiskʊ
ruela ruɛlɐ
vazante baθantɪ
bibliógrafo biβ̞ljɔɣ̞ɾafʊ
sombreiro sombɾejɾʊ
vergasta beɾɣastɐ
retranca retɾaŋkɐ
chalana t͡ʃalanɐ
breca bɾɛkɐ
breca bɾɛkɐ
cincho θinʲt͡ʃʊ
turra turɐ
panxoliña panʃɔliɲɐ
acevo aθeβ̞ʊ
acivro aθiβ̞ɾʊ
currada kuraðɐ
tallada taʎaðɐ
trapeira tɾapejɾɐ
trapeira tɾapejɾɐ
boqueadas bokeaðɐs
azafranada aθafɾanað̞ɐ
bogada bʊɣaðɐ
estacada estakaðɐ
folgo fɔlɣʊ
sendeiro sendejɾo̝
xamanismo ʃamãniz̺mʊ
xornalista ʃoɾnalistɐ
callao kaʎaʊ̯
acoro ɑkoɾʊ
rescaldo reskaldʊ
aderno aðɛɾnʊ
adaptabilidade að̞apt̪aβ̞ilið̞að̞ɪ
trela t̪ɾɛlɐ
credulidade kɾɛð̞ulið̞að̞ɪ
liteira litejɾɐ
meimendro mei̯mendɾʊ
posterioridade pos̺t̪ɛɾjoɾið̞að̞ɪ
pedrada peðɾaðɐ
chicharro t͡ʃit͡ʃarʊ
congro koŋɡɾʊ
urdume uɾð̞umɪ
trigal tɾiɣal
compango kompaŋɡʊ
forqueta foɾket̪ɐ
albarda ɑlβ̞aɾð̞ɐ
padieira paðiejɾɐ
arraiano arai̯anʊ
apupo apupʊ
arroio aroi̯ʊ
tenreiro tenrejɾʊ
quincalla kiŋkɑʎɐ
electrificación ɛlɛkt̪ɾifikɑθjoŋ
devastación d̪eβ̞as̺t̪aθjoŋ
industrialización in̪d̪us̺t̪ɾjaliθaθjoŋ
promulgación pɾomuɫɣ̞ɑθjoŋ
calaza kɑlaθɐ
revitalización reβ̞it̪aliθaθjoŋ
petada petaðɐ
machada mat͡ʃað̞ɐ
torresmo torɛsmʊ
farruco farukʊ
infindo iɱfindʊ
almogávar almoɣaβɐɾ
bragada bɾaɣaðɐ
sopapo sopapʊ
reintegración rein̪t̪eɣ̞ɾaθjoŋ
apropiación apɾɔpjaθjoŋ
vestidura bestiðuɾɐ
cartilla kɑɾt̪iɟɐ
fregués fɾɛɣes
emancipación emãn̪θipaθjoŋ
agano aɣanʊ
sospeita sospejtɐ
armila aɾmilɐ
beiral bejɾal
escrófula eskɾɔfulɐ
lavadura laβaðuɾɐ
sensibilización s̺ens̺iβ̞iliθaθjoŋ
arcediago ˌaɾθeð̞jɑɣ̞ʊ
parideira paɾið̞ejɾɐ
renque reŋkɪ
roupeiro rowpejɾʊ
arrieiro ariejrʊ
caloteiro kɑlɔt̪ejɾʊ
lombriga lombɾiɣɐ
cacifo kaθifʊ
céspede θɛs̺peð̞ɪ
contrarrevolución kon̪t̪ɾareβ̞oluθjoŋ
disociación d̪is̺ɔθjaθjoŋ
libretistas liβ̞ɾet̪is̺t̪as̺
nigromante niɣɾomantɪ
confiscación koɱfis̺kɑθjoŋ
cabezudo kɑβ̞eθuð̞ʊ
expatriación eks̺pat̪ɾjaθjoŋ
sambódromo s̺ambɔð̞ɾomʊ
evisceración ɛβ̞is̺θeɾaθjoŋ
evicción eβ̞ikθjoŋ
ondulación on̪d̪ulaθjoŋ
notariado nɔt̪aɾjað̞ʊ
verdel beɾðɛl
zaragata θaɾaɣatɐ
remoción remɔθjoŋ
incardinación iŋkɑɾð̞inaθjoŋ
godello ɡoðeʎʊ
revendedor reβendeðoɾ
bailador bajlaðoɾ
bostela bostɛlɐ
insensibilidade ins̺ens̺iβ̞ilið̞að̞ɪ
corgo kɔɾɣʊ
calote kɑlɔtɪ
palanquín pɑlɑŋkiŋ
palanquín pɑlɑŋkiŋ
torzón toɾθoŋ
cirurxián θiɾuɾʃjɑŋ
ruzo ruθʊ
abrótea aβ̞ɾɔt̪eɐ
falúa faluɐ
emasculación emas̺kulaθjoŋ
gubia ɡuβjɐ
becerra beθerɐ
becerra beθerɐ
maruca maɾukɐ
aeroliña aɛɾɔliɲɐ
bigornia biɣ̞ɔɾnjɐ
mancadura maŋkaðuɾɐ
charrúa t͡ʃaruɐ
charrúa t͡ʃaruɐ
restrición res̺t̪ɾiθjoŋ
lembranza lembɾanθɐ
vaguada bɑɣ̞uað̞ɐ
secularización s̺ɛkulaɾiθaθjoŋ
cavaco kɑβakʊ
abrandamento aβ̞ɾan̪d̪amẽn̪t̪ʊ
coñecemento koɲeθementʊ
relento relentʊ
senectude s̺enɛkt̪uð̞ɪ
abelleiro aβ̞eɟejɾʊ
espigo espiɣʊ
regalía reɣaliɐ
regalía reɣaliɐ
cárcava kɑɾkɐβɐ
homeópata ɔmeɔpat̪ɐ
tarteira taɾtei̯ɾɐ
picaña pikɑɲɐ
impo impʊ
sinapismo s̺inapiz̺mʊ
grazas ɡɾaθas̺
sobreira s̺oβ̞ɾejɾa̝
benestar bɛŋes̺t̪aɾ
groba ɡɾɔβɐ
cualificación kwalifikɑθjoŋ
barallada baɾaʎaðɐ
picapau pikɑpɑw
bravío bɾaβiʊ
sodomía s̺oð̞omiɐ
embeleco embelekʊ
otomán ɔt̪omɑ̃ŋ
nené nẽne
canle kɑnlɪ
limeta limet̪ɐ
mocada mɔkaðɐ
xerra ʃɛrɐ
tralla t̪ɾa̠ɟɐ
recitación reθit̪aθjoŋ
chanfaina t͡ʃaɱfajnɐ
anada anaðɐ
loia lɔjɐ
mercaduría meɾkaðuɾiɐ
lavanco laβ̞ɑŋkʊ
magosto maɣostʊ
castañeta kɑstaɲetɐ
castañeta kɑstaɲetɐ
pavía paβiɐ
punteiro punteiɾʊ
barreño bareɲʊ
esfollada esfoʎaðɐ
chicharra t͡ʃit͡ʃarɐ
brétema bɾɛtɪmɐ
serodio s̺eɾoð̞jʊ
orgo ɔɾɣ̞ʊ
chourizo t͡ʃowɾiθʊ
romaría romaɾiɐ
guindastre ɡin̪d̪as̺t̪ɾɪ
abeneiro aβenejɾʊ
mioca mjɔkɐ
péga pɛɣɐ
corisco koɾiskʊ
meixengra mei̯ʃeŋɡɾɐ
fervenza feɾβ̞ɛn̪θɐ
lámpada lampað̞ɐ
carniza kɑɾniθɐ
gándara ɡandɐɾɐ
lorbaga loɾβaɣɐ
chanca t͡ʃaŋkɐ
bébedo beβ̞ɪð̞ʊ
faneca brava fanɛka βɾaβɐ
escáncer eskanθɪɾ
faneca fanɛkɐ
fiúncho fiunʲt͡ʃʊ
arcipreste aɾθipɾɛs̺t̪ɪ
ludro luðɾʊ
muxica muʃikɐ
moxena moʃenɐ
abeaca aβeaka̝
agarimo ɑɣ̞ɑɾimʊ
lacazán lɑkɑθɑŋ
fiúza fiuθɐ
maino majnʊ
filloa fiʎɔɐ
lindura lin̪d̪uɾɐ
calcañar kɑɫkɑɲaɾ
piño piɲʊ
treitoira tɾei̯toi̯ɾɐ
gaspallo ɡaspaʎʊ
mazarico maθaɾikʊ
congostra koŋɡostɾɐ
abelleira aβ̞eɟejɾɐ
trasno tɾasnʊ
