abdominales aβ̞ð̞ominales
radián rað̞jãn
rajón raxõn
afabilidad afaβ̞ilið̞að̞
anterioridad ãn̪t̪eɾjoɾið̞að̞
adiposidad að̞iposið̞að̞
conductividad kõn̪d̪uɣ̞t̪iβ̞ið̞að̞
prolapso pɾolaβ̞so
reductoras reð̞uɣ̞t̪oɾas
reductora reð̞uɣ̞t̪oɾa
reductores reð̞uɣ̞t̪oɾes
matacandelas mat̪akãn̪d̪elas
cristaloide kɾist̪aloi̯ð̞e
uniformidad unifoɾmið̞að̞
friabilidad fɾjaβ̞ilið̞að̞
fusibilidad fusiβ̞ilið̞að̞
objetividad oβ̞xet̪iβ̞ið̞að̞
serranas seranas
serrana serana
cafre kafɾe
teobroma t̪eoβ̞ɾoma
virtualidad biɾt̪walið̞að̞
tempestividad t̪ẽmpest̪iβ̞ið̞að̞
cairota kai̯ɾot̪a
posteridad post̪eɾið̞að̞
temporalidad t̪ẽmpoɾalið̞að̞
entomólogo ẽn̪t̪omoloɣ̞o
quebrantahuesos keˌβ̞ɾãn̪t̪awesos
castros kast̪ɾos
guateque ɡwat̪eke
capitalidad kapit̪alið̞að̞
pololo pololo
aperos apeɾos
cameralismo kameɾalizmo
estatuto est̪at̪ut̪o
camita kamit̪a
chipera t͡ʃipeɾa
schwannoma eʃβ̞anoma
milico miliko
sarmiento saɾmjẽn̪t̪o
pelada pelað̞a
pelada pelað̞a
cucharadas kut͡ʃaɾað̞as
cacharro kat͡ʃaro
yas ɟ͡ʝas
yas ɟ͡ʝas
lisonjeros lisõŋxeɾos
lisonjeras lisõŋxeɾas
lisonjera lisõŋxeɾa
rapaduras rapað̞uɾas
lisonjeadora lisõŋxeað̞oɾa
lisonjero lisõŋxeɾo
lisonjeador lisõŋxeað̞oɾ
tanino t̪anino
maqueta maket̪a
maqueta maket̪a
toponimia t̪oponimja
cultor kul̪t̪oɾ
tripanosoma t̪ɾipanosoma
desmentidos d̪ezmẽn̪t̪ið̞os
galgos ɡalɣ̞os
gañidos ɡaɲið̞os
guiñadas ɡiɲað̞as
guiñada ɡiɲað̞a
humita umit̪a
gañido ɡaɲið̞o
amago amaɣ̞o
pajarón paxaɾõn
fragüe fɾaɣ̞we
papita papit̪a
huma uma
leona leona
tribalismo t̪ɾiβ̞alizmo
aleteo alet̪eo
deshielo d̪ezʝelo
tricoma t̪ɾikoma
pleito plei̯t̪o
metopa met̪opa
triodo t̪ɾjoð̞o
brigadas bɾiɣ̞að̞as
tripolitano t̪ɾipolit̪ano
puñetero puɲet̪eɾo
sonajero sonaxeɾo
tripolitana t̪ɾipolit̪ana
triforio t̪ɾifoɾjo
pentodo pẽn̪t̪oð̞o
pulsímetro pulsimet̪ɾo
pulsimetros pulsimet̪ɾos
biopsias bjoβ̞sjas
histamina ist̪amina
rabieta raβ̞jet̪a
regresos reɣ̞ɾesos
videodisco bið̞eoð̞isko
penca pẽŋka
fiabilidad fjaβ̞ilið̞að̞
caprimulgo kapɾimulɣ̞o
hematología emat̪oloxia
eteno et̪eno
maleabilidad maleaβ̞ilið̞að̞
martirologio maɾt̪iɾoloxjo
dril d̪ɾil
motelo mot̪elo
propeno pɾopeno
frapita fɾapit̪a
carambolo kaɾãmbolo
reinados rei̯nað̞os
carlina kaɾlina
espejuelo espexwelo
acarbosa akaɾβ̞osa
envergadura ẽmbeɾɣ̞að̞uɾa
progesterona pɾoxest̪eɾona
cogidos koxið̞os
gameto ɡamet̪o
carmelitana kaɾmelit̪ana
gradería ɡɾað̞eɾia
grafómetro ɡɾafomet̪ɾo
cartismo kaɾt̪izmo
cartista kaɾt̪ist̪a
carmelitano kaɾmelit̪ano
castrismo kast̪ɾizmo
solárium solaɾjũm
castrista kast̪ɾist̪a
adiosito að̞josit̪o
viejita bjexit̪a
catilinaria kat̪ilinaɾja
monada monað̞a
maniquí maniki
maniquí maniki
gasas ɡasas
pajarera paxaɾeɾa
pajarera paxaɾeɾa
gorrón ɡorõn
barricada barikað̞a
artesanía aɾt̪esania
hado að̞o
saboteadora saβ̞ot̪eað̞oɾa
postora post̪oɾa
graja ɡɾaxa
Comanchero komãnʲt͡ʃeɾo
hisopo isopo
waterpolo wat̪eɾpolo
politicastra polit̪ikast̪ɾa
legislador lexislað̞oɾ
meristemo meɾist̪emo
escaladas eskalað̞as
polifosfatos polifosfat̪os
partisano paɾt̪isano
polifosfato polifosfat̪o
chachas t͡ʃat͡ʃas
ransomware rãnsomweɾ
bullectomía buʝeɣ̞t̪omia
deltoide d̪el̪t̪oi̯ð̞e
presupuestos pɾesupwest̪os
glena ɡlena
planetoide planet̪oi̯ð̞e
romboide rõmboi̯ð̞e
tabloide t̪aβ̞loi̯ð̞e
callampa kaʝãmpa
chacha t͡ʃat͡ʃa
chacha t͡ʃat͡ʃa
chacha t͡ʃat͡ʃa
globalismo ɡloβ̞alizmo
emoticono emot̪ikono
virosis biɾosis
trilogía t̪ɾiloxia
gilda xil̪d̪a
caolín kaolĩn
fundamentos fũn̪d̪amẽn̪t̪os
turquesa t̪uɾkesa
pelagatos pelaɣ̞at̪os
juníperos xunipeɾos
neopreno neopɾeno
rubéola ruβ̞eola
carmesí kaɾmesi
exégesis eɣ̞sexesis
tomatera t̪omat̪eɾa
olor ˌklaβ̞o ð̞e oloɾ
pollita poʝit̪a
repartidora repaɾt̪ið̞oɾa
cartógrafos kaɾt̪oɣ̞ɾafos
traumatología t̪ɾau̯mat̪oloxia
cartógrafas kaɾt̪oɣ̞ɾafas
cúrcuma kuɾkuma
idealistas ið̞ealist̪as
substituto suβ̞st̪it̪ut̪o
cartógrafo kaɾt̪oɣ̞ɾafo
cartógrafa kaɾt̪oɣ̞ɾafa
alanos alanos
pando pãn̪d̪o
guarismo ɡwaɾizmo
solar eˌkliβ̞se solaɾ
flama flama
bosquejo boskexo
sofito sofit̪o
cochón kot͡ʃõn
lunar eˌkliβ̞se lunaɾ
neuroprotector neu̯ɾopɾot̪eɣ̞t̪oɾ
pichi pit͡ʃi
rituximab rit̪uɣ̞simaβ̞
expósito eɣ̞sposit̪o
eucarionte eu̯kaɾjõn̪t̪e
dorado kaɾˌpĩn̪ d̪oɾað̞o
turón t̪uɾõn
carpín kaɾpĩn
autorretrato au̯t̪oret̪ɾat̪o
clac klak
peinados pei̯nað̞os
saneamiento saneamjẽn̪t̪o
clostridio klost̪ɾið̞jo
séquito sekit̪o
animosidad animosið̞að̞
coclearia kokleaɾja
peñascos peɲaskos
peñasco peɲasko
desperfecto d̪espeɾfeɣ̞t̪o
relojería reloxeɾia
aborígenes aβ̞oɾixenes
chipote t͡ʃipot̪e
fanal fanal
coluro koluɾo
alaraco alaɾako
feminismos feminizmos
humeras umeɾas
alharaca alaɾaka
humera umeɾa
alcorque alkoɾke
almohadilla almoað̞iʝa
sustitutos sust̪it̪ut̪os
sustitutas sust̪it̪ut̪as
sustituta sust̪it̪ut̪a
apero apeɾo
estilóbato est̪iloβ̞at̪o
apisonadora apisonað̞oɾa
pesebre peseβ̞ɾe
loche lot͡ʃe
trabajito t̪ɾaβ̞axit̪o
palito palit̪o
lémur lemuɾ
nueves nweβ̞es
badajo bað̞axo
macarrón makarõn
macarrón makarõn
requinto rekĩn̪t̪o
requinto rekĩn̪t̪o
kelper kelpeɾ
acromion akɾomjõn
obús oβ̞us
asaeteador asaet̪eað̞oɾ
treta t̪ɾet̪a
mate ˌɟ͡ʝeɾβ̞a mat̪e
borrador borað̞oɾ
ratonera rat̪oneɾa
apaño apaɲo
tubera t̪uβ̞eɾa
malabarismo malaβ̞aɾizmo
puerca pweɾka
imperativos ĩmpeɾat̪iβ̞os
generalidad xeneɾalið̞að̞
médano með̞ano
raquera rakeɾa
cabrito kaβ̞ɾit̪o
anarquistas anaɾkist̪as
hipernatremia ipeɾnat̪ɾemja
numerador numeɾað̞oɾ
pirinola piɾinola
denominador d̪enominað̞oɾ
serrín serĩn
chicharrón t͡ʃit͡ʃarõn
crocodiliforme kɾokoð̞ilifoɾme
ferretería feret̪eɾia
bricolaje bɾikolaxe
calistenia kalist̪enja
lamera lameɾa
riflera rifleɾa
comadrona komað̞ɾona
marañas maɾaɲas
condoro kõn̪d̪oɾo
auges au̯xes
maraña maɾaɲa
telugu t̪eluɣ̞u
partija paɾt̪ixa
comparatista kõmpaɾat̪ist̪a
lavadas laβ̞að̞as
alardes alaɾð̞es
combinados kõmbinað̞os
alares alaɾes
atolada at̪olað̞a
lavada laβ̞að̞a
caladas kalað̞as
calada kalað̞a
sangrados sãŋɡɾað̞os
calados kalað̞os
amarrados amarað̞os
convidados kõmbið̞að̞os
convidadas kõmbið̞að̞as
convidada kõmbið̞að̞a
acoplados akoplað̞os
etiquetados et̪iket̪að̞os
choras t͡ʃoɾas
pesquisas peskisas
chora t͡ʃoɾa
chora t͡ʃoɾa
menstruo mẽnst̪ɾwo
pasividad pasiβ̞ið̞að̞
cagadas kaɣ̞að̞as
mija mixa
baleada baleað̞a
bebidos beβ̞ið̞os
coladas kolað̞as
batera bat̪eɾa
colada kolað̞a
evacuados eβ̞akwað̞os
evacuadas eβ̞akwað̞as
evacuada eβ̞akwað̞a
modelados moð̞elað̞os
moravas moɾaβ̞as
morava moɾaβ̞a
pintados pĩn̪t̪að̞os
morados moɾað̞os
samica samika
pintadas pĩn̪t̪að̞as
írises iɾises
pintada pĩn̪t̪að̞a
sonso sõnso
significados siɣ̞nifikað̞os
secados sekað̞os
frontales ˌloβ̞ulos fɾõn̪t̪ales
frontal ˌloβ̞ulo fɾõn̪t̪al
parietales ˌloβ̞ulos paɾjet̪ales
temporales ˌloβ̞ulos t̪ẽmpoɾales
parietal ˌloβ̞ulo paɾjet̪al
temporal ˌloβ̞ulo t̪ẽmpoɾal
rola rola
astróloga ast̪ɾoloɣ̞a
chuño t͡ʃuɲo
verificabilidad beɾifikaβ̞ilið̞að̞
salpicón salpikõn
sayo saʝo
bombita bõmbit̪a
sembradura sẽmbɾað̞uɾa
contestatario kõn̪t̪est̪at̪aɾjo
velarte belaɾt̪e
velludo beʝuð̞o
contestataria kõn̪t̪est̪at̪aɾja
madrugador mað̞ɾuɣ̞að̞oɾ
notarias not̪aɾjas
notaria not̪aɾja
madrugadoras mað̞ɾuɣ̞að̞oɾas
madrugadores mað̞ɾuɣ̞að̞oɾes
madrugadora mað̞ɾuɣ̞að̞oɾa
pogromo poɣ̞ɾomo
magíster maxist̪eɾ
abertales aβ̞eɾt̪ales
coreuta koɾeu̯t̪a
chuchada t͡ʃut͡ʃað̞a
correligionario korelixjonaɾjo
huaso w̝aso
mandril mãn̪d̪ɾil
correligionaria korelixjonaɾja
keke keke
coxalgia koɣ̞salxja
palmito palmit̪o
encaste ẽŋkast̪e
lache lat͡ʃe
bacalaos bakalaos
deudor d̪eu̯ð̞oɾ
marraqueta maraket̪a
espantadas espãn̪t̪að̞as
espantada espãn̪t̪að̞a
adaptabilidad að̞aβ̞t̪aβ̞ilið̞að̞
roquera rokeɾa
creolina kɾeolina
cocotes kokot̪es
cocote kokot̪e
madeja mað̞exa
giste xist̪e
cocotas kokot̪as
plaste plast̪e
prensa ˌrweð̞a ð̞e pɾẽnsa
invidente ĩmbið̞ẽn̪t̪e
culmo kulmo
acampamento akãmpamẽn̪t̪o
cumana kumana
cuscuta kuskut̪a
snackbar znaɣ̞β̞aɾ
cumarina kumaɾina
estafadora est̪afað̞oɾa
estafadores est̪afað̞oɾes
rejilla rexiʝa
serafín seɾafĩn
iatrofobia ɟ͡ʝat̪ɾofoβ̞ja
papalote papalot̪e
dandismo d̪ãn̪d̪izmo
acuarela akwaɾela
solar ˌbjẽn̪t̪o solaɾ
peritos peɾit̪os
ensima ẽnsima
agilidad axilið̞að̞
latifundio lat̪ifũn̪d̪jo
vigilias bixiljas
peliculero pelikuleɾo
podredumbre poð̞ɾeð̞ũmbɾe
mansedumbre mãnseð̞ũmbɾe
chacales t͡ʃakales
asterismo ast̪eɾizmo
feministas feminist̪as
roturadora rot̪uɾað̞oɾa
espora espoɾa
feminista feminist̪a
delfinario d̪elfinaɾjo
denario d̪enaɾjo
altímetro al̪t̪imet̪ɾo
extrusión eɣ̞st̪ɾusjõn
rodesiano roð̞esjano
deuteragonista d̪eu̯t̪eɾaɣ̞onist̪a
espinosos espinosos
espinoso espinoso
remera remeɾa
diarista d̪jaɾist̪a
sindonología sĩn̪d̪onoloxia
biotita bjot̪it̪a
crematorios kɾemat̪oɾjos
sumerio sumeɾjo
sumerio sumeɾjo
arriba ˌkwaɾk ariβ̞a
abajo ˌkwaɾk aβ̞axo
fondo ˌkwaɾɣ̞ fõn̪d̪o
extraño ˌkwaɾk eɣ̞st̪ɾaɲo
encantado ˌkwaɾk ẽŋkãn̪t̪að̞o
W boˌsõn ˌuβ̞e ð̞oβ̞le
gauge boˌsõn̪ d̪e ɣ̞au̯xe
Higgs boˌsõn̪ d̪e xiɣ̞s
chucrut t͡ʃukɾut̪
largura laɾɣ̞uɾa
mensajeras mẽnsaxeɾas
mensajera mẽnsaxeɾa
monstruosidades mõnst̪ɾwosið̞að̞es
astronómica uniˌð̞að̞ ast̪ɾonomika
alegato aleɣ̞at̪o
informativos ĩɱfoɾmat̪iβ̞os
ocupante okupãn̪t̪e
mandilón mãn̪d̪ilõn
ratero rat̪eɾo
carterista kaɾt̪eɾist̪a
suajili swaxili
neerlandesas neeɾlãn̪d̪esas
pastelera past̪eleɾa
peatón peat̪õn
destructora d̪est̪ɾuɣ̞t̪oɾa
destructoras d̪est̪ɾuɣ̞t̪oɾas
exactitud eɣ̞saɣ̞t̪it̪uð̞
dínamo d̪inamo
sex-appeal ˌseɣ̞s apil
exfoliante eɣ̞sfoljãn̪t̪e
enoturismo enot̪uɾizmo
enolismo enolizmo
enología enoloxia
patineta pat̪inet̪a
genialidad xenjalið̞að̞
sumiller sumiʝeɾ
inmovilidad ĩmmoβ̞ilið̞að̞
virginiana biɾxinjana
teosofía t̪eosofia
recolector rekoleɣ̞t̪oɾ
hidalgos ið̞alɣ̞os
alacridad alakɾið̞að̞
mamarracho mamarat͡ʃo
mamarracho mamarat͡ʃo
piramidal piɾamið̞al
encantadoras ẽŋkãn̪t̪að̞oɾas
pretor pɾet̪oɾ
embrollo ẽmbɾoʝo
severidad seβ̞eɾið̞að̞
albor alβ̞oɾ
agravamiento aɣ̞ɾaβ̞amjẽn̪t̪o
alumbramiento alũmbɾamjẽn̪t̪o
acosador akosað̞oɾ
alicantino alikãn̪t̪ino
óvalos oβ̞alos
óvalo oβ̞alo
cuadriláteros kwað̞ɾilat̪eɾos
conseller kõnseʝeɾ
órdago oɾð̞aɣ̞o
vampiresa bãmpiɾesa
talibán t̪aliβ̞ãn
taquillero t̪akiʝeɾo
alargador alaɾɣ̞að̞oɾ
vespertino bespeɾt̪ino
alargue alaɾɣ̞e
cuchifrito kut͡ʃifɾit̪o
desembocaduras d̪esẽmbokað̞uɾas
patíbulos pat̪iβ̞ulos
rémora remoɾa
puntal pũn̪t̪al
pívot piβ̞ot̪
catalanista kat̪alanist̪a
ligre liɣ̞ɾe
profesionalidad pɾofesjonalið̞að̞
panucho panut͡ʃo
probadura pɾoβ̞að̞uɾa
primogénito pɾimoxenit̪o
confitería kõɱfit̪eɾia
coctelería koɣ̞t̪eleɾia
redactora reð̞aɣ̞t̪oɾa
mapuche maput͡ʃe
picadillo pikað̞iʝo
cacumen kakumẽn
plaqueta plaket̪a
chesco t͡ʃesko
remolinos remolinos
carestía kaɾest̪ia
baho bao
exotoxina eɣ̞sot̪oɣ̞sina
departamentos ˌt̪jẽn̪d̪a poɾ ð̞epaɾt̪amẽn̪t̪os
fatalismos fat̪alizmos
nuevo ˌaɲo nweβ̞o
cagones kaɣ̞ones
cagones kaɣ̞ones
cagón kaɣ̞õn
cagón kaɣ̞õn
bandolero bãn̪d̪oleɾo
jurista xuɾist̪a
barquillo baɾkiʝo
microbioma mikɾoβ̞joma
endemismo ẽn̪d̪emizmo
jaquetón xaket̪õn
toquis t̪okis
escribanía eskɾiβ̞ania
usurpadoras usuɾpað̞oɾas
estadunidense est̪að̞unið̞ẽnse
energúmeno eneɾɣ̞umeno
tigresa t̪iɣ̞ɾesa
usurpadora usuɾpað̞oɾa
tagalo t̪aɣ̞alo
tagalo t̪aɣ̞alo
femeninos femeninos
podre poð̞ɾe
ramal ramal
pietismo pjet̪izmo
iletrado ilet̪ɾað̞o
coquito kokit̪o
déspota d̪espot̪a
microcomputador mikɾokõmput̪að̞oɾ
cocoliche kokolit͡ʃe
hostal ost̪al
joyera xoʝeɾa
cambalache kãmbalat͡ʃe
farmacología faɾmakoloxia
aimará ai̯maɾa
aimará ai̯maɾa
encantamiento ẽŋkãn̪t̪amjẽn̪t̪o
calvos kalβ̞os
calvas kalβ̞as
trompe-l'œil t̪ɾõmplei̯
humidificador umið̞ifikað̞oɾ
rédito reð̞it̪o
humorada umoɾað̞a
criadita kɾjað̞it̪a
metedura met̪eð̞uɾa
metalúrgicos met̪aluɾxikos
metralleta met̪ɾaʝet̪a
salinidad salinið̞að̞
prebenda pɾeβ̞ẽn̪d̪a
flatos flat̪os
hipertermia ipeɾt̪eɾmja
burgalesa buɾɣ̞alesa
nomeolvides nomeolβ̞ið̞es
burgalés buɾɣ̞ales
lentillo lẽn̪t̪iʝo
sepulcro sepulkɾo
petroglifo pet̪ɾoɣ̞lifo
tirantes t̪iɾãn̪t̪es
flato flat̪o
mieludo mjeluð̞o
videntes bið̞ẽn̪t̪es
contentura kõn̪t̪ẽn̪t̪uɾa
patera pat̪eɾa
riachuelo rjat͡ʃwelo
salero saleɾo
calleja kaʝexa
bígamos biɣ̞amos
bígamas biɣ̞amas
apología apoloxia
temerarios t̪emeɾaɾjos
bígamo biɣ̞amo
bígama biɣ̞ama
teólogo t̪eoloɣ̞o
institutor ĩnst̪it̪ut̪oɾ
tortillero t̪oɾt̪iʝeɾo
tortillero t̪oɾt̪iʝeɾo
flebitis fleβ̞it̪is
masculinidad maskulinið̞að̞
discalculia d̪iskalkulja
solanina solanina
astrónoma ast̪ɾonoma
antropóloga ãn̪t̪ɾopoloɣ̞a
alginato alxinat̪o
granulomatosis ɡɾanulomat̪osis
nerdo neɾð̞o
grelina ɡɾelina
plasta plast̪a
tiple t̪iple
argamasa aɾɣ̞amasa
chiquitita t͡ʃikit̪it̪a
chiquitito t͡ʃikit̪it̪o
pilpil pilpil
pilpil pilpil
normopeso noɾmopeso
secuta sekut̪a
bloguero bloɣ̞eɾo
servato seɾβ̞at̪o
salitre salit̪ɾe
efigie efixje
guardameta ɡwaɾð̞amet̪a
malabar malaβ̞aɾ
volador plaˌt̪iʝo β̞olað̞oɾ
batel bat̪el
morro moro
axón aɣ̞sõn
corsé koɾse
teto t̪et̪o
volante plaˌt̪iʝo β̞olãn̪t̪e
alcantarillado alkãn̪t̪aɾiʝað̞o
pajaroneo paxaɾoneo
muchachita mut͡ʃat͡ʃit̪a
familiaridad familjaɾið̞að̞
chamorro t͡ʃamoro
chamorro t͡ʃamoro
gerifalte alˌkõŋ xeɾifal̪t̪e
salmantinas salmãn̪t̪inas
salmantina salmãn̪t̪ina
salmantino salmãn̪t̪ino
gerifalte xeɾifal̪t̪e
salmantinos salmãn̪t̪inos
ortigas oɾt̪iɣ̞as
estocada est̪okað̞a
macabeo makaβ̞eo
macabeo makaβ̞eo
macabeo makaβ̞eo
venida benið̞a
venidas benið̞as
llegadas ɟ͡ʝeɣ̞að̞as
mamaderas mamað̞eɾas
mamadera mamað̞eɾa
garabato ɡaɾaβ̞at̪o
sedero seð̞eɾo
coágulo koaɣ̞ulo
cachucha kat͡ʃut͡ʃa
iraki iɾaki
rali rali
individualidad ĩn̪d̪iβ̞ið̞walið̞að̞
margajita maɾɣ̞axit̪a
chulengo t͡ʃulẽŋɡo
pedriscos peð̞ɾiskos
pedrisco peð̞ɾisko
humorista umoɾist̪a
adventista að̞β̞ẽn̪t̪ist̪a
diletante d̪ilet̪ãn̪t̪e
divisionismo d̪iβ̞isjonizmo
somnífero sõmnifeɾo
urología uɾoloxia
nipón nipõn
libre ˌlut͡ʃa liβ̞ɾe
grecorromana ˌlut͡ʃa ɣ̞ɾekoromana
anchoveta ãnʲt͡ʃoβ̞et̪a
gatera ɡat̪eɾa
bagre baɣ̞ɾe
seña ˌsãn̪t̪o i seɲa
ojota oxot̪a
hawaianos awajanos
hawaianas awajanas
bacteriemia baɣ̞t̪eɾjemja
escaque eskake
guarro ɡwaro
guarro ɡwaro
lejanía lexania
absolutista aβ̞solut̪ist̪a
dragona d̪ɾaɣ̞ona
alminar alminaɾ
tábano t̪aβ̞ano
cachimbas kat͡ʃĩmbas
gálibo ɡaliβ̞o
médium með̞jũm
chapero t͡ʃapeɾo
sintoísmo sĩn̪t̪oizmo
bengalí bẽŋɡali
bengalí bẽŋɡali
mirador miɾað̞oɾ
miradores miɾað̞oɾes
canilla kaniʝa
ducto d̪uɣ̞t̪o
diacrítico d̪jakɾit̪iko
isquemia iskemja
homóloga omoloɣ̞a
bangaña bãŋɡaɲa
chupeta t͡ʃupet̪a
quiché kit͡ʃe
quiché kit͡ʃe
mejicana mexikana
mejicanas mexikanas
mejicanos mexikanos
mejicano mexikano
nefrología nefɾoloxia
nefrólogo nefɾoloɣ̞o
cahuín kawĩn
aalenianos alenjanas
currito kurit̪o
curri kuri
sumergible sumeɾxiβ̞le
morrocoy morokoi̯
ingenuidad ĩŋxenwið̞að̞
plumaje plumaxe
araucanas aɾau̯kanas
araucanos aɾau̯kanos
araucana aɾau̯kana
paliativo paljat̪iβ̞o
lentitud lẽn̪t̪it̪uð̞
mixtura miɣ̞st̪uɾa
blanco ˌbino β̞lãŋko
trampera t̪ɾãmpeɾa
viento moˌlino ð̞e β̞jẽn̪t̪o
cabildo kaβ̞il̪d̪o
cantonesas kãn̪t̪onesas
cantoneses kãn̪t̪oneses
catalepsia kat̪aleβ̞sja
ranacuajo ranakwaxo
cantonés kãn̪t̪ones
cantonés kãn̪t̪ones
métricas met̪ɾikas
perímetros peɾimet̪ɾos
norteños noɾt̪eɲos
cosméticas kozmet̪ikas
gimnasta xĩmnast̪a
cólicos kolikos
novelistas noβ̞elist̪as
pataleta pat̪alet̪a
norteñas noɾt̪eɲas
fanfarrones fãɱfarones
nórdicas noɾð̞ikas
columnista kolũmnist̪a
norteña noɾt̪eɲa
chismoso t͡ʃizmoso
métrica met̪ɾika
térmicas t̪eɾmikas
cosmética kozmet̪ika
estereotipo est̪eɾeot̪ipo
flósculo floskulo
cantonesa kãn̪t̪onesa
fanfarrona fãɱfarona
peda peð̞a
lusa lusa
aranto aɾãn̪t̪o
pintxo pĩnʲt͡ʃo
tanguito t̪ãŋɡit̪o
gachas ɡat͡ʃas
gachas ɡat͡ʃas
consultor kõnsul̪t̪oɾ
frior fɾjoɾ
pársec paɾsek
solera soleɾa
lolos lolos
alaraca alaɾaka
solomillo solomiʝo
complementos kõmplemẽn̪t̪os
proctóloga pɾoɣ̞t̪oloɣ̞a
chismosa t͡ʃizmosa
sorbete soɾβ̞et̪e
sorbete soɾβ̞et̪e
sorbeto soɾβ̞et̪o
sorbeto soɾβ̞et̪o
sobreseimiento soβ̞ɾesei̯mjẽn̪t̪o
devotos d̪eβ̞ot̪os
devotas d̪eβ̞ot̪as
lagar laɣ̞aɾ
veguero beɣ̞eɾo
pavero paβ̞eɾo
espartanas espaɾt̪anas
espartana espaɾt̪ana
espartanos espaɾt̪anos
espartano espaɾt̪ano
angitis ãŋxit̪is
contendor kõn̪t̪ẽn̪d̪oɾ
remisero remiseɾo
repe repe
bilingüismo bilĩŋɡwizmo
nanos nanos
abigeo aβ̞ixeo
ulmo ulmo
cavos kaβ̞os
aviarios aβ̞jaɾjos
sinos sinos
edecán eð̞ekãn
cursores kuɾsoɾes
fimo fimo
carbones kaɾβ̞ones
tarsero t̪aɾseɾo
pipera pipeɾa
adamante að̞amãn̪t̪e
arcanos aɾkanos
vanos banos
sardonia saɾð̞onja
vicaria bikaɾja
gregarios ɡɾeɣ̞aɾjos
gregarias ɡɾeɣ̞aɾjas
castas kast̪as
carolina kaɾolina
bibosi biβ̞osi
festivos fest̪iβ̞os
validos balið̞os
sectaria seɣ̞t̪aɾja
festas fest̪as
sectario seɣ̞t̪aɾjo
indicativos ĩn̪d̪ikat̪iβ̞os
lusos lusos
musculosas muskulosas
priscos pɾiskos
luso luso
lusas lusas
musculosa muskulosa
derivativos d̪eɾiβ̞at̪iβ̞os
cantimplora kãn̪t̪ĩmploɾa
clavario klaβ̞aɾjo
divos d̪iβ̞os
pedito peð̞it̪o
coriandro koɾjãn̪d̪ɾo
contubernio kõn̪t̪uβ̞eɾnjo
palmeta palmet̪a
rastra rast̪ɾa
galbana ɡalβ̞ana
capense kapẽnse
laterales lat̪eɾales
hígados iɣ̞að̞os
adherente að̞eɾẽn̪t̪e
adherente að̞eɾẽn̪t̪e
frontis fɾõn̪t̪is
eclipsi ekliβ̞si
entalpía ẽn̪t̪alpia
fuste fust̪e
agros aɣ̞ɾos
estirón est̪iɾõn
pillos piʝos
chamullo t͡ʃamuʝo
duramadre d̪uɾamað̞ɾe
druidismo d̪ɾwið̞izmo
drusa d̪ɾusa
extremeñas eɣ̞st̪ɾemeɲas
extremeños eɣ̞st̪ɾemeɲos
extremeña eɣ̞st̪ɾemeɲa
seminarios seminaɾjos
floristas floɾist̪as
conspiradores kõnspiɾað̞oɾes
conspiradoras kõnspiɾað̞oɾas
guarra ɡwara
inconvenientes ĩŋkõmbenjẽn̪t̪es
porros poros
conspiradora kõnspiɾað̞oɾa
conspirador kõnspiɾað̞oɾ
contextos kõn̪t̪eɣ̞st̪os
hipocondriaco ipokõn̪d̪ɾjako
infusión ĩɱfusjõn
bohemio boemjo
aforismo afoɾizmo
hipocondríaco ipokõn̪d̪ɾiako
estelas est̪elas
cardos kaɾð̞os
diagnósticos d̪jaɣ̞nost̪ikos
estela est̪ela
lobista loβ̞ist̪a
inexperta ineɣ̞speɾt̪a
inexperto ĩneɣ̞speɾt̪o
simas simas
geriatría xeɾjat̪ɾia
geriátrico xeɾjat̪ɾiko
güira ˌbela ɣ̞wiɾa
cuarterón kwaɾt̪eɾõn
polola polola
irrealidad irealið̞að̞
oralidad oɾalið̞að̞
mataburros mat̪aβ̞uros
criticón kɾit̪ikõn
plenitud plenit̪uð̞
incredulidad ĩŋkɾeð̞ulið̞að̞
reflexión refleɣ̞sjõn
abertzale aβ̞eɾt͡ʃale
escribiente eskɾiβ̞jẽn̪t̪e
rulos rulos
charada t͡ʃaɾað̞a
inmueble ĩmmweβ̞le
sofrología sofɾoloxia
péndola pẽn̪d̪ola
patinadora pat̪inað̞oɾa
patinadores pat̪inað̞oɾes
patinadoras pat̪inað̞oɾas
sorbos soɾβ̞os
pólipo polipo
kion kjõn
daimio d̪ai̯mjo
pieses pjeses
cuita kwit̪a
ménade menað̞e
esquirol eskiɾol
entrismo ẽn̪t̪ɾizmo
eolio eoljo
eolia eolja
eperlano epeɾlano
listillo list̪iʝo
renglón rẽŋɡlõn
epodo epoð̞o
mamotreto mamot̪ɾet̪o
furni fuɾni
ergativo eɾɣ̞at̪iβ̞o
diacríticos d̪jakɾit̪ikos
rescatista reskat̪ist̪a
icor ikoɾ
singularidad sĩŋɡulaɾið̞að̞
maullido mau̯ʝið̞o
aullido au̯ʝið̞o
vegada beɣ̞að̞a
escara eskaɾa
estimativo est̪imat̪iβ̞o
farola faɾola
aguapanela aɣ̞wapanela
barragán baraɣ̞ãn
barragán baraɣ̞ãn
actuario aɣ̞t̪waɾjo
actuarias aɣ̞t̪waɾjas
setiembre set̪jẽmbɾe
actuaria aɣ̞t̪waɾja
extranjerismo eɣ̞st̪ɾãŋxeɾizmo
tarántula t̪aɾãn̪t̪ula
